Mooring,Latitude,Longitude,Date,xCO2_SW_wet,xCO2_SW_dry,pH
,Dec_Deg,Dec_Deg,MM/DD/YYYY,umol/mol,umol/mol,pH
BOBOA_90E_15N,15.002,89.952,11/24/2013,383.3,387.5,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,384.4,387.6,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,383.4,386.5,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,384,387.1,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,382.6,385.7,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,382.6,385.7,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,382.7,385.8,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,381.4,385,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,381.4,384.5,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,380.7,383.7,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,380.9,383.9,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,381.1,384.1,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,380.4,383.4,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,380,383,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,379,381.9,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,376,379.9,-999
BOBOA_90E_15N,15.002,89.952,11/24/2013,375.8,379.7,-999
BOBOA_90E_15N,15.002,89.952,11/25/2013,374.9,378.8,8.0507
BOBOA_90E_15N,15.002,89.952,11/25/2013,375.5,379.3,8.0528
BOBOA_90E_15N,15.002,89.952,11/25/2013,369.3,373,8.0614
BOBOA_90E_15N,15.002,89.952,11/25/2013,374,377.6,8.0623
BOBOA_90E_15N,15.002,89.952,11/25/2013,371,374.6,8.063
BOBOA_90E_15N,15.002,89.952,11/25/2013,369.8,373.5,8.0573
BOBOA_90E_15N,15.002,89.952,11/25/2013,366.9,370.5,8.0657
BOBOA_90E_15N,15.002,89.952,11/25/2013,368.5,372.2,8.0581
BOBOA_90E_15N,15.002,89.952,11/26/2013,368.2,371.8,8.0622
BOBOA_90E_15N,15.002,89.952,11/26/2013,368,371.8,8.0673
BOBOA_90E_15N,15.002,89.952,11/26/2013,370,373.8,8.0547
BOBOA_90E_15N,15.002,89.952,11/26/2013,369.3,373.1,8.06
BOBOA_90E_15N,15.002,89.952,11/26/2013,370.8,374.7,8.0549
BOBOA_90E_15N,15.002,89.952,11/26/2013,368.1,371.9,8.0606
BOBOA_90E_15N,15.002,89.952,11/26/2013,371.3,375.1,8.0541
BOBOA_90E_15N,15.002,89.952,11/26/2013,372.4,376.3,8.0635
BOBOA_90E_15N,15.002,89.952,11/27/2013,372.6,376.7,8.0547
BOBOA_90E_15N,15.002,89.952,11/27/2013,372.7,377,8.0606
BOBOA_90E_15N,15.002,89.952,11/27/2013,373.4,377.7,8.057
BOBOA_90E_15N,15.002,89.952,11/27/2013,373.5,377.8,8.0554
BOBOA_90E_15N,15.002,89.952,11/27/2013,372.3,376.5,8.0595
BOBOA_90E_15N,15.002,89.952,11/27/2013,371.1,375.2,8.0558
BOBOA_90E_15N,15.002,89.952,11/27/2013,370.6,374.7,8.058
BOBOA_90E_15N,15.002,89.952,11/27/2013,370.6,374.7,8.0622
BOBOA_90E_15N,15.002,89.952,11/28/2013,369.8,373.9,8.0553
BOBOA_90E_15N,15.002,89.952,11/28/2013,368.5,372.7,8.0583
BOBOA_90E_15N,15.002,89.952,11/28/2013,371.4,375.8,-999
