Mooring,Latitude,Longitude,Date,xCO2_SW_wet,xCO2_SW_dry,pH
,Dec_Deg,Dec_Deg,MM/DD/YYYY,umol/mol,umol/mol,pH
BOBOA_90E_15N,14.995,89.935,12/6/2014,393.6,396.1,-999
BOBOA_90E_15N,14.995,89.935,12/6/2014,389.2,391.1,-999
BOBOA_90E_15N,14.995,89.935,12/6/2014,387.7,389.5,-999
BOBOA_90E_15N,14.995,89.935,12/6/2014,387.9,389.6,8.054
BOBOA_90E_15N,14.995,89.935,12/6/2014,389.1,390.9,-999
BOBOA_90E_15N,14.995,89.935,12/6/2014,389.4,391.2,-999
BOBOA_90E_15N,14.995,89.935,12/6/2014,390,391.9,-999
BOBOA_90E_15N,14.995,89.935,12/6/2014,390.4,392.2,-999
BOBOA_90E_15N,14.995,89.935,12/6/2014,391.4,393.6,-999
BOBOA_90E_15N,14.995,89.935,12/6/2014,396.1,398.6,-999
BOBOA_90E_15N,14.995,89.935,12/7/2014,394,396.5,-999
BOBOA_90E_15N,14.995,89.935,12/7/2014,392,394.5,-999
BOBOA_90E_15N,14.995,89.935,12/7/2014,396.6,399.2,-999
BOBOA_90E_15N,14.995,89.935,12/7/2014,395.7,398.3,-999
BOBOA_90E_15N,14.995,89.935,12/7/2014,396.9,399.5,-999
BOBOA_90E_15N,14.995,89.935,12/7/2014,396.6,399.2,8.036
BOBOA_90E_15N,14.995,89.935,12/7/2014,387.7,390.1,-999
BOBOA_90E_15N,14.995,89.935,12/7/2014,389.5,391.9,8.0441
BOBOA_90E_15N,14.995,89.935,12/8/2014,394.7,397.2,8.0414
BOBOA_90E_15N,14.995,89.935,12/8/2014,398.8,401.4,8.0427
BOBOA_90E_15N,14.995,89.935,12/8/2014,396.8,399.4,8.0347
BOBOA_90E_15N,14.995,89.935,12/8/2014,398.8,401.4,8.0372
BOBOA_90E_15N,14.995,89.935,12/8/2014,394.3,396.8,8.0423
BOBOA_90E_15N,14.995,89.935,12/8/2014,392.5,395.1,8.038
BOBOA_90E_15N,14.995,89.935,12/8/2014,394.4,397,8.0398
BOBOA_90E_15N,14.995,89.935,12/8/2014,398.6,401.2,8.0331
BOBOA_90E_15N,14.995,89.935,12/9/2014,397.6,400.1,8.0444
BOBOA_90E_15N,14.995,89.935,12/9/2014,385.4,388,8.0453
BOBOA_90E_15N,14.995,89.935,12/9/2014,384.2,386.9,8.0481
BOBOA_90E_15N,14.995,89.935,12/9/2014,385.5,388.3,8.0495
BOBOA_90E_15N,14.995,89.935,12/9/2014,386.1,388.7,8.0506
BOBOA_90E_15N,14.995,89.935,12/9/2014,385.1,387.7,8.0527
