Mooring,Latitude,Longitude,Date,xCO2_SW_wet,xCO2_SW_dry,pH
,Dec_Deg,Dec_Deg,MM/DD/YYYY,umol/mol,umol/mol,pH
BOBOA_90E_15N,14.982,89.929,3/6/2016,384.6,388,-999
BOBOA_90E_15N,14.982,89.929,3/6/2016,387.2,390.8,-999
BOBOA_90E_15N,14.982,89.929,3/6/2016,388.1,391.7,-999
BOBOA_90E_15N,14.982,89.929,3/6/2016,387.8,391.5,-999
BOBOA_90E_15N,14.982,89.929,3/6/2016,386.4,390.1,-999
BOBOA_90E_15N,14.982,89.929,3/6/2016,384.8,388.6,-999
BOBOA_90E_15N,14.982,89.929,3/6/2016,383.2,387,-999
BOBOA_90E_15N,14.982,89.929,3/6/2016,379.6,383.7,-999
BOBOA_90E_15N,14.982,89.929,3/6/2016,377.8,381.8,-999
BOBOA_90E_15N,14.982,89.929,3/6/2016,376.7,380.7,-999
BOBOA_90E_15N,14.982,89.929,3/6/2016,376.9,380.9,-999
BOBOA_90E_15N,14.982,89.929,3/7/2016,376.3,380.3,-999
BOBOA_90E_15N,14.982,89.929,3/7/2016,377.6,382.2,-999
BOBOA_90E_15N,14.982,89.929,3/7/2016,391.8,396.3,-999
BOBOA_90E_15N,14.982,89.929,3/7/2016,400,404.8,-999
BOBOA_90E_15N,14.982,89.929,3/7/2016,386.4,390.8,-999
BOBOA_90E_15N,14.982,89.929,3/7/2016,380.4,384.7,-999
BOBOA_90E_15N,14.982,89.929,3/7/2016,379.6,383.8,-999
BOBOA_90E_15N,14.982,89.929,3/7/2016,380.3,384.4,-999
BOBOA_90E_15N,14.982,89.929,3/8/2016,380.1,384.1,-999
BOBOA_90E_15N,14.982,89.929,3/8/2016,383.9,388.7,-999
BOBOA_90E_15N,14.982,89.929,3/8/2016,399.8,404.9,-999
BOBOA_90E_15N,14.982,89.929,3/8/2016,413.8,418,-999
BOBOA_90E_15N,14.982,89.929,3/8/2016,384.6,389.1,-999
BOBOA_90E_15N,14.982,89.929,3/8/2016,381.3,385.8,-999
BOBOA_90E_15N,14.982,89.929,3/8/2016,380.5,384.9,-999
BOBOA_90E_15N,14.982,89.929,3/8/2016,380.5,384.8,-999
BOBOA_90E_15N,14.982,89.929,3/9/2016,379.6,383.7,-999
BOBOA_90E_15N,14.982,89.929,3/9/2016,386,390.9,-999
BOBOA_90E_15N,14.982,89.929,3/9/2016,408,413.3,-999
BOBOA_90E_15N,14.982,89.929,3/9/2016,410.9,415.7,-999
BOBOA_90E_15N,14.982,89.929,3/9/2016,392.9,397.7,-999
BOBOA_90E_15N,14.982,89.929,3/9/2016,389.8,394.4,-999
BOBOA_90E_15N,14.982,89.929,3/9/2016,382.8,387.2,-999
BOBOA_90E_15N,14.982,89.929,3/9/2016,383.4,387.9,-999
BOBOA_90E_15N,14.982,89.929,3/10/2016,382.8,387.2,-999
BOBOA_90E_15N,14.982,89.929,3/10/2016,385.9,391,-999
BOBOA_90E_15N,14.982,89.929,3/10/2016,404.4,409.9,-999
BOBOA_90E_15N,14.982,89.929,3/10/2016,411.6,414.1,-999
BOBOA_90E_15N,14.982,89.929,3/10/2016,394.2,399,-999
BOBOA_90E_15N,14.982,89.929,3/10/2016,387.1,391.8,-999
BOBOA_90E_15N,14.982,89.929,3/10/2016,385.2,389.8,-999
BOBOA_90E_15N,14.982,89.929,3/10/2016,385.4,389.9,-999
BOBOA_90E_15N,14.982,89.929,3/11/2016,382.8,387.1,-999
BOBOA_90E_15N,14.982,89.929,3/11/2016,384.4,389.4,-999
BOBOA_90E_15N,14.982,89.929,3/11/2016,390.2,395.1,-999
BOBOA_90E_15N,14.982,89.929,3/11/2016,392.5,397.7,-999
BOBOA_90E_15N,14.982,89.929,3/11/2016,389.2,394,-999
BOBOA_90E_15N,14.982,89.929,3/11/2016,386.7,391.4,-999
BOBOA_90E_15N,14.982,89.929,3/11/2016,385,389.6,-999
