Mooring Name,Latitude,Longitude,Date,xCO2  SW (wet) (umol/mol)
KEO_145E_32N,32.425,144.491,4/7/2012,355.5
KEO_145E_32N,32.425,144.491,4/7/2012,356
KEO_145E_32N,32.425,144.491,4/7/2012,355.1
KEO_145E_32N,32.425,144.491,4/7/2012,354.7
KEO_145E_32N,32.425,144.491,4/7/2012,354.4
KEO_145E_32N,32.425,144.491,4/7/2012,354.2
KEO_145E_32N,32.425,144.491,4/7/2012,354.5
KEO_145E_32N,32.425,144.491,4/7/2012,354.8
KEO_145E_32N,32.425,144.491,4/7/2012,354.8
KEO_145E_32N,32.425,144.491,4/7/2012,354.5
KEO_145E_32N,32.425,144.491,4/7/2012,354.8
KEO_145E_32N,32.425,144.491,5/7/2012,360.1
KEO_145E_32N,32.425,144.491,5/7/2012,359.4
KEO_145E_32N,32.425,144.491,5/7/2012,359.3
KEO_145E_32N,32.425,144.491,5/7/2012,358.8
KEO_145E_32N,32.425,144.491,5/7/2012,357.9
KEO_145E_32N,32.425,144.491,5/7/2012,359.2
KEO_145E_32N,32.425,144.491,5/7/2012,358.7
KEO_145E_32N,32.425,144.491,5/7/2012,358.4
KEO_145E_32N,32.425,144.491,6/7/2012,359.3
KEO_145E_32N,32.425,144.491,6/7/2012,360.3
KEO_145E_32N,32.425,144.491,6/7/2012,361.2
KEO_145E_32N,32.425,144.491,6/7/2012,361.4
KEO_145E_32N,32.425,144.491,6/7/2012,361
KEO_145E_32N,32.425,144.491,6/7/2012,362.1
KEO_145E_32N,32.425,144.491,6/7/2012,362.9
KEO_145E_32N,32.425,144.491,6/7/2012,363.1
KEO_145E_32N,32.425,144.491,7/7/2012,364.2
KEO_145E_32N,32.425,144.491,7/7/2012,364.9
KEO_145E_32N,32.425,144.491,7/7/2012,364.9
KEO_145E_32N,32.425,144.491,7/7/2012,364.5
KEO_145E_32N,32.425,144.491,7/7/2012,363.9
KEO_145E_32N,32.425,144.491,7/7/2012,365.5
KEO_145E_32N,32.425,144.491,7/7/2012,366
KEO_145E_32N,32.425,144.491,7/7/2012,363
KEO_145E_32N,32.425,144.491,8/7/2012,363.7
KEO_145E_32N,32.425,144.491,8/7/2012,364.3
KEO_145E_32N,32.425,144.491,8/7/2012,364.2
KEO_145E_32N,32.425,144.491,8/7/2012,363.7
KEO_145E_32N,32.425,144.491,8/7/2012,363.9
KEO_145E_32N,32.425,144.491,8/7/2012,364.3
KEO_145E_32N,32.425,144.491,8/7/2012,364.9
KEO_145E_32N,32.425,144.491,8/7/2012,365.3
KEO_145E_32N,32.425,144.491,9/7/2012,366
KEO_145E_32N,32.425,144.491,9/7/2012,366.1
KEO_145E_32N,32.425,144.491,9/7/2012,366
KEO_145E_32N,32.425,144.491,9/7/2012,365.1
KEO_145E_32N,32.425,144.491,9/7/2012,364.7
KEO_145E_32N,32.425,144.491,9/7/2012,364.4
KEO_145E_32N,32.425,144.491,9/7/2012,364.6
KEO_145E_32N,32.425,144.491,9/7/2012,364.3
KEO_145E_32N,32.425,144.491,10/7/2012,367.2
