Mooring Name,Latitude,Longitude,Date,xCO2  SW (wet) (umol/mol)
KEO,32.3,144.51,9/26/2007,375.6
KEO,32.3,144.51,9/26/2007,374
KEO,32.3,144.51,9/26/2007,373
KEO,32.3,144.51,9/26/2007,371.7
KEO,32.3,144.51,9/26/2007,374.2
KEO,32.3,144.51,9/26/2007,374
KEO,32.3,144.51,9/26/2007,372.9
KEO,32.3,144.51,9/26/2007,371.8
KEO,32.3,144.51,9/27/2007,371.7
KEO,32.3,144.51,9/27/2007,370.5
KEO,32.3,144.51,9/27/2007,371.7
KEO,32.3,144.51,9/27/2007,372.5
KEO,32.3,144.51,9/27/2007,372.2
KEO,32.3,144.51,9/27/2007,373.3
KEO,32.3,144.51,9/27/2007,372.3
KEO,32.3,144.51,9/27/2007,371
KEO,32.3,144.51,9/27/2007,372.6
KEO,32.3,144.51,9/27/2007,373
KEO,32.3,144.51,9/28/2007,373.4
KEO,32.3,144.51,9/28/2007,374.8
KEO,32.3,144.51,9/28/2007,375.7
KEO,32.3,144.51,9/28/2007,374.4
KEO,32.3,144.51,9/28/2007,374.7
KEO,32.3,144.51,9/28/2007,374.5
KEO,32.3,144.51,9/28/2007,374.9
KEO,32.3,144.51,9/28/2007,373.2
KEO,32.3,144.51,9/29/2007,371.1
KEO,32.3,144.51,9/29/2007,377.8
KEO,32.3,144.51,9/29/2007,378.3
KEO,32.3,144.51,9/29/2007,364.5
KEO,32.3,144.51,9/29/2007,370.1
KEO,32.3,144.51,9/29/2007,370.6
KEO,32.3,144.51,9/29/2007,369.7
KEO,32.3,144.51,9/29/2007,370.1
KEO,32.3,144.51,9/30/2007,372
KEO,32.3,144.51,9/30/2007,373
KEO,32.3,144.51,9/30/2007,373
KEO,32.3,144.51,9/30/2007,370.7
KEO,32.3,144.51,9/30/2007,372.6
KEO,32.3,144.51,9/30/2007,374.1
KEO,32.3,144.51,9/30/2007,375.4
KEO,32.3,144.51,9/30/2007,373.4
KEO,32.3,144.51,10/1/2007,374
KEO,32.3,144.51,10/1/2007,374.4
KEO,32.3,144.51,10/1/2007,372.7
KEO,32.3,144.51,10/1/2007,371.8
KEO,32.3,144.51,10/1/2007,372
KEO,32.3,144.51,10/1/2007,372.7
KEO,32.3,144.51,10/1/2007,373.6
KEO,32.3,144.51,10/1/2007,374.1
KEO,32.3,144.51,10/2/2007,375.1
KEO,32.3,144.51,10/2/2007,376.9
KEO,32.3,144.51,10/2/2007,381.1
KEO,32.3,144.51,10/2/2007,376.8
KEO,32.3,144.51,10/2/2007,376.1
KEO,32.3,144.51,10/2/2007,381.6
KEO,32.3,144.51,10/2/2007,380.5
KEO,32.3,144.51,10/2/2007,379.7
KEO,32.3,144.51,10/3/2007,376.8
KEO,32.3,144.51,10/3/2007,377.4
KEO,32.3,144.51,10/3/2007,377.4
KEO,32.3,144.51,10/3/2007,378.4
KEO,32.3,144.51,10/3/2007,377.4
KEO,32.3,144.51,10/3/2007,377.3
KEO,32.3,144.51,10/3/2007,376.5
KEO,32.3,144.51,10/3/2007,377.5
KEO,32.3,144.51,10/4/2007,377.2
KEO,32.3,144.51,10/4/2007,378.5
KEO,32.3,144.51,10/4/2007,377.4
KEO,32.3,144.51,10/4/2007,375
KEO,32.3,144.51,10/4/2007,374.9
KEO,32.3,144.51,10/4/2007,374.8
KEO,32.3,144.51,10/4/2007,375.2
KEO,32.3,144.51,10/4/2007,375.7
KEO,32.3,144.51,10/5/2007,376.4
KEO,32.3,144.51,10/5/2007,379.2
KEO,32.3,144.51,10/5/2007,380.6
KEO,32.3,144.51,10/5/2007,378.9
KEO,32.3,144.51,10/5/2007,376.1
KEO,32.3,144.51,10/5/2007,375.3
KEO,32.3,144.51,10/5/2007,375.9
KEO,32.3,144.51,10/5/2007,375.7
KEO,32.3,144.51,10/6/2007,375
KEO,32.3,144.51,10/6/2007,374.2
KEO,32.3,144.51,10/6/2007,373.8
KEO,32.3,144.51,10/6/2007,370.7
KEO,32.3,144.51,10/6/2007,370.5
KEO,32.3,144.51,10/6/2007,370.3
KEO,32.3,144.51,10/6/2007,369.9
KEO,32.3,144.51,10/6/2007,369
KEO,32.3,144.51,10/7/2007,368.9
KEO,32.3,144.51,10/7/2007,369.6
KEO,32.3,144.51,10/7/2007,368.7
KEO,32.3,144.51,10/7/2007,367
KEO,32.3,144.51,10/7/2007,365.7
KEO,32.3,144.51,10/7/2007,365.7
KEO,32.3,144.51,10/7/2007,365.5
KEO,32.3,144.51,10/7/2007,366.6
KEO,32.3,144.51,10/8/2007,370
KEO,32.3,144.51,10/8/2007,372.6
KEO,32.3,144.51,10/8/2007,371.6
KEO,32.3,144.51,10/8/2007,370.2
KEO,32.3,144.51,10/8/2007,371.1
KEO,32.3,144.51,10/8/2007,371.1
KEO,32.3,144.51,10/8/2007,371.7
KEO,32.3,144.51,10/8/2007,373.3
KEO,32.3,144.51,10/9/2007,373.6
KEO,32.3,144.51,10/9/2007,374
KEO,32.3,144.51,10/9/2007,371.8
KEO,32.3,144.51,10/9/2007,365.7
KEO,32.3,144.51,10/9/2007,365.1
KEO,32.3,144.51,10/9/2007,365.9
KEO,32.3,144.51,10/9/2007,366.9
KEO,32.3,144.51,10/9/2007,366.7
KEO,32.3,144.51,10/10/2007,364.7
KEO,32.3,144.51,10/10/2007,363.6
KEO,32.3,144.51,10/10/2007,363.9
KEO,32.3,144.51,10/10/2007,363.4
KEO,32.3,144.51,10/10/2007,363.8
KEO,32.3,144.51,10/10/2007,364.6
KEO,32.3,144.51,10/10/2007,365.2
KEO,32.3,144.51,10/10/2007,367.2
KEO,32.3,144.51,10/11/2007,368
KEO,32.3,144.51,10/11/2007,374.3
KEO,32.3,144.51,10/11/2007,370.4
KEO,32.3,144.51,10/11/2007,371
KEO,32.3,144.51,10/11/2007,373.7
KEO,32.3,144.51,10/11/2007,373.3
KEO,32.3,144.51,10/11/2007,373.7
KEO,32.3,144.51,10/11/2007,373.6
KEO,32.3,144.51,10/12/2007,374.2
KEO,32.3,144.51,10/12/2007,372.8
KEO,32.3,144.51,10/12/2007,373.3
KEO,32.3,144.51,10/12/2007,373.5
KEO,32.3,144.51,10/12/2007,372.6
KEO,32.3,144.51,10/12/2007,372.7
KEO,32.3,144.51,10/12/2007,372.8
KEO,32.3,144.51,10/12/2007,373.2
KEO,32.3,144.51,10/13/2007,371.5
KEO,32.3,144.51,10/13/2007,373.4
KEO,32.3,144.51,10/13/2007,371.7
KEO,32.3,144.51,10/13/2007,368.8
KEO,32.3,144.51,10/13/2007,369.3
KEO,32.3,144.51,10/13/2007,369.8
KEO,32.3,144.51,10/13/2007,368.6
KEO,32.3,144.51,10/13/2007,366.2
KEO,32.3,144.51,10/14/2007,367.9
KEO,32.3,144.51,10/14/2007,372.4
KEO,32.3,144.51,10/14/2007,392.5
KEO,32.3,144.51,10/14/2007,368.4
KEO,32.3,144.51,10/14/2007,368.1
KEO,32.3,144.51,10/14/2007,370.5
KEO,32.3,144.51,10/14/2007,373.3
KEO,32.3,144.51,10/14/2007,372.6
KEO,32.3,144.51,10/15/2007,376
KEO,32.3,144.51,10/15/2007,373.1
KEO,32.3,144.51,10/15/2007,372.1
KEO,32.3,144.51,10/15/2007,371.9
KEO,32.3,144.51,10/15/2007,371.7
KEO,32.3,144.51,10/15/2007,371.4
KEO,32.3,144.51,10/15/2007,366.4
KEO,32.3,144.51,10/15/2007,372.7
KEO,32.3,144.51,10/16/2007,372.6
KEO,32.3,144.51,10/16/2007,371.4
KEO,32.3,144.51,10/16/2007,370.1
KEO,32.3,144.51,10/16/2007,368.5
KEO,32.3,144.51,10/16/2007,367.8
KEO,32.3,144.51,10/16/2007,371.1
KEO,32.3,144.51,10/16/2007,369.9
KEO,32.3,144.51,10/16/2007,370.2
KEO,32.3,144.51,10/17/2007,372.2
KEO,32.3,144.51,10/17/2007,381.6
KEO,32.3,144.51,10/17/2007,367.5
KEO,32.3,144.51,10/17/2007,365.5
KEO,32.3,144.51,10/17/2007,365.7
KEO,32.3,144.51,10/17/2007,365.9
KEO,32.3,144.51,10/17/2007,365.9
KEO,32.3,144.51,10/17/2007,365.1
KEO,32.3,144.51,10/18/2007,364.8
KEO,32.3,144.51,10/18/2007,362.8
KEO,32.3,144.51,10/18/2007,356.5
KEO,32.3,144.51,10/18/2007,357.8
KEO,32.3,144.51,10/18/2007,357.5
KEO,32.3,144.51,10/18/2007,354.7
KEO,32.3,144.51,10/18/2007,355.3
KEO,32.3,144.51,10/18/2007,354.4
KEO,32.3,144.51,10/19/2007,354.4
KEO,32.3,144.51,10/19/2007,355.3
KEO,32.3,144.51,10/19/2007,358
KEO,32.3,144.51,10/19/2007,358.5
KEO,32.3,144.51,10/19/2007,361.9
KEO,32.3,144.51,10/19/2007,362.7
KEO,32.3,144.51,10/19/2007,366.1
KEO,32.3,144.51,10/19/2007,365
KEO,32.3,144.51,10/20/2007,354.1
