Mooring Name,Latitude,Longitude,Date,xCO2  SW (wet) (umol/mol)
KEO,32.3,144.54,9/5/2009,398.4
KEO,32.3,144.54,9/5/2009,395.7
KEO,32.3,144.54,9/5/2009,394.7
KEO,32.3,144.54,9/5/2009,394.3
KEO,32.3,144.54,9/5/2009,394.5
KEO,32.3,144.54,9/5/2009,395
KEO,32.3,144.54,9/5/2009,394.9
KEO,32.3,144.54,9/5/2009,394.6
KEO,32.3,144.54,9/5/2009,394.8
KEO,32.3,144.54,9/5/2009,395
KEO,32.3,144.54,9/5/2009,396.1
KEO,32.3,144.54,9/5/2009,397.7
KEO,32.3,144.54,9/5/2009,397.8
KEO,32.3,144.54,9/5/2009,397.9
KEO,32.3,144.54,9/5/2009,398.7
KEO,32.3,144.54,9/5/2009,392.1
KEO,32.3,144.54,9/6/2009,392.1
KEO,32.3,144.54,9/6/2009,390.8
KEO,32.3,144.54,9/6/2009,391.5
KEO,32.3,144.54,9/6/2009,390.2
KEO,32.3,144.54,9/6/2009,391.5
KEO,32.3,144.54,9/6/2009,393.9
KEO,32.3,144.54,9/6/2009,393.9
KEO,32.3,144.54,9/6/2009,392.5
KEO,32.3,144.54,9/7/2009,394.5
KEO,32.3,144.54,9/7/2009,394.6
KEO,32.3,144.54,9/7/2009,391.9
KEO,32.3,144.54,9/7/2009,390.7
KEO,32.3,144.54,9/7/2009,392.5
KEO,32.3,144.54,9/7/2009,392.8
KEO,32.3,144.54,9/7/2009,392.1
KEO,32.3,144.54,9/7/2009,393.5
KEO,32.3,144.54,9/8/2009,397.2
KEO,32.3,144.54,9/8/2009,396.8
KEO,32.3,144.54,9/8/2009,397
KEO,32.3,144.54,9/8/2009,397.7
KEO,32.3,144.54,9/8/2009,401.5
KEO,32.3,144.54,9/8/2009,405.5
KEO,32.3,144.54,9/8/2009,413.1
KEO,32.3,144.54,9/8/2009,410.8
KEO,32.3,144.54,9/9/2009,390.5
KEO,32.3,144.54,9/9/2009,389.6
KEO,32.3,144.54,9/9/2009,395.6
