Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
LA_PARGUERA_67W_18N,17.954,-67.051,8/31/2016,15:17,463.3,2,16.47,396.3,2,14.72,1016.1,31.1,98.44,29.813,35.211,471,402.2,451.9,385.8,66,453.2,387,66.2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,8/31/2016,18:17,453.8,2,16.52,392.9,2,14.86,1013.9,32.1,98.98,29.952,35.195,461.4,398.8,441.5,381.6,59.9,442.8,382.8,60.1,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,8/31/2016,21:17,452.3,2,15.92,393.2,2,14.28,1013,32.2,99.2,29.873,35.203,459.6,398.9,439.4,381.4,58,440.7,382.5,58.2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,9/1/2016,0:17,455.3,2,14.79,394.6,2,13.95,1015,31.7,99.29,29.786,35.203,462.1,400.2,442.8,383.5,59.4,444.2,384.7,59.5,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,9/1/2016,3:17,458.2,2,14.2,408.6,2,12.77,1016.8,31,99.01,29.749,35.214,464.8,413.9,446.3,397.4,48.9,447.6,398.6,49,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,9/1/2016,6:17,463.8,2,13.37,418.9,2,12.6,1015.3,30.2,98.87,29.768,35.257,470.1,424.3,450.6,406.7,43.9,452,407.9,44,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,9/1/2016,9:17,465.8,2,12.89,419.1,2,12.15,1015,29.5,98.62,29.737,35.253,471.8,424.3,452.2,406.6,45.6,453.6,407.9,45.7,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,9/1/2016,12:17,464.6,2,15.1,408.2,2,13.73,1016.4,29,98.29,29.745,35.258,471.7,413.9,452.8,397.3,55.5,454.1,398.5,55.7,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,9/1/2016,15:17,461.9,2,16.69,392.3,2,15,1016.9,30.2,98.28,29.828,35.173,469.8,398.2,451,382.3,68.7,452.4,383.5,68.9,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,9/1/2016,18:17,458.3,2,16.29,390.9,2,14.63,1014.7,31.6,98.65,29.989,35.181,465.8,396.7,446,379.8,66.2,447.4,381,66.4,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,9/1/2016,21:17,456.6,2,15.95,391.3,2,14.87,1014.3,31.9,98.96,29.955,35.177,464,397.2,444.2,380.2,64,445.5,381.3,64.2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,9/2/2016,0:17,457.7,2,14.49,396.3,2,13.05,1015.3,31.5,98.95,29.883,35.175,464.4,401.5,445.1,384.8,60.3,446.4,386,60.4,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,9/2/2016,3:17,462.8,2,13.97,428.5,2,13.03,1017,30.7,98.88,29.851,35.19,469.4,434.1,450.6,416.8,33.8,452,418.1,33.9,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,9/2/2016,6:17,463.1,2,13.53,409.9,2,12.62,1015.8,30,98.57,29.857,35.235,469.5,415.1,450.2,398.1,52.1,451.5,399.3,52.3,-999,5
