Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH_SW,PH QF
LA_PARGUERA_67W_18N,17.954,-67.051,12/3/2011,3:17,466,2,12.02,390.9,2,11.06,1013.6,30.1,99.19,28.976,34.564,471.6,395.3,452.1,379,73.2,453.5,380.1,73.4,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,12/3/2011,6:17,484.1,2,11.68,392.9,2,10.57,1011.6,29.1,97.64,28.891,34.565,489.8,397.1,468.7,380,88.7,470.1,381.2,89,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,12/3/2011,9:17,466.9,2,11.32,407.4,2,10.36,1011.3,28.3,97.62,28.847,34.567,472.3,411.7,451.8,393.9,58,453.2,395.1,58.1,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,12/3/2011,12:17,468.3,2,12,402.5,2,10.72,1012.7,27.7,97.69,28.825,34.564,474,406.8,454.2,389.8,64.4,455.6,391,64.6,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,12/3/2011,15:17,465.9,2,13.04,395.1,2,11.3,1012.7,29.1,96.73,29.06,34.574,472,399.6,452,382.6,69.4,453.4,383.8,69.6,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,12/3/2011,18:17,457.1,2,14.1,390.7,2,11.89,1010,31.7,98.04,29.266,34.579,463.7,395.4,442.6,377.4,65.2,443.9,378.5,65.4,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,12/3/2011,21:17,447.5,2,14.63,381,2,12.14,1010,32.6,98.91,29.229,34.581,454.1,385.7,433.5,368.1,65.4,434.8,369.3,65.5,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,12/4/2011,0:17,454.8,2,12.6,383.8,2,10.93,1011.5,31.9,99.31,29.004,34.579,460.6,388,440.6,371.2,69.4,441.9,372.3,69.6,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,12/4/2011,3:17,465.7,2,11.85,385.4,2,10.24,1011.8,30.1,98.35,28.813,34.573,471.3,389.3,451.1,372.7,78.4,452.5,373.9,78.7,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,12/4/2011,6:17,469.3,2,11.02,386.9,2,9.48,1010.3,28.7,97.9,28.783,34.571,474.6,390.6,453.6,373.3,80.3,455,374.5,80.5,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,12/4/2011,9:17,468.4,2,10.92,396.4,2,9.66,1009.5,27.6,97.56,28.752,34.57,473.6,400.3,452.4,382.4,70,453.7,383.5,70.2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,12/4/2011,12:17,466.9,2,11.71,406.1,2,10.28,1010.4,27,97.42,28.733,34.579,472.4,410.3,451.6,392.3,59.4,453,393.5,59.6,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,12/4/2011,15:17,470.1,2,12.91,396.3,2,11.32,1010,28.5,96.51,28.868,34.581,476.2,400.8,455,382.9,72.1,456.4,384.1,72.3,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,12/4/2011,18:17,448.3,2,14.13,389.9,2,11.76,1008,31.3,98.34,29.177,34.589,454.8,394.6,433.3,375.9,57.3,434.6,377.1,57.5,-999,5
LA_PARGUERA_67W_18N,17.954,-67.051,12/4/2011,21:17,434.4,2,14.75,378.6,2,11.87,1008.1,32.5,99.43,29.133,34.589,440.9,383.2,420.2,365.2,55,421.4,366.3,55.2,-999,5
