Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
LA_PARGUERA_67W_18N,17.952,-67.058,12/19/2012,0:17,418,2,7.04,391,2,6.36,1017.2,30.5,99.49,27.728,34.645,421,393.5,406.2,379.7,26.5,407.5,380.9,26.6,8.043,2
LA_PARGUERA_67W_18N,17.952,-67.058,12/19/2012,3:17,418.4,2,7.03,402.2,2,6.44,1017.6,29.2,99.22,27.61,34.649,421.3,404.8,406.8,390.9,15.9,408.1,392.1,16,8.041,2
LA_PARGUERA_67W_18N,17.952,-67.058,12/19/2012,6:17,428.9,2,6.95,401.2,2,6.28,1016.7,28.4,98.64,27.542,34.65,431.9,403.8,416.6,389.5,27.1,417.9,390.7,27.2,8.036,2
LA_PARGUERA_67W_18N,17.952,-67.058,12/19/2012,9:17,432.8,2,6.97,409.6,2,6.3,1016.4,27.9,98.18,27.502,34.657,435.9,412.1,420.4,397.5,22.9,421.7,398.8,22.9,8.032,2
LA_PARGUERA_67W_18N,17.952,-67.058,12/19/2012,12:17,420.6,2,6.96,405.8,2,6.22,1017.8,27.5,98.23,27.501,34.67,423.6,408.4,409.1,394.4,14.7,410.4,395.7,14.7,8.043,2
LA_PARGUERA_67W_18N,17.952,-67.058,12/19/2012,15:17,426.3,2,7.33,397.2,2,6.65,1018,28.7,98.33,27.67,34.667,429.4,399.8,414.7,386.1,28.6,416,387.3,28.7,8.036,2
LA_PARGUERA_67W_18N,17.952,-67.058,12/19/2012,18:17,421.2,2,7.81,392.9,2,7.07,1016.3,30.3,98.59,27.712,34.665,424.5,395.7,409.3,381.5,27.8,410.5,382.7,27.8,8.035,2
LA_PARGUERA_67W_18N,17.952,-67.058,12/19/2012,21:17,409.4,2,7.72,391.7,2,6.88,1016.2,30.7,98.99,27.751,34.642,412.6,394.4,397.6,380.2,17.5,398.9,381.4,17.5,8.047,2
LA_PARGUERA_67W_18N,17.952,-67.058,12/20/2012,0:17,412.9,2,7.38,396.1,2,6.54,1017.2,29.8,99.08,27.702,34.65,416,398.7,401.4,384.7,16.7,402.7,385.9,16.7,8.041,2
LA_PARGUERA_67W_18N,17.952,-67.058,12/20/2012,3:17,417.3,2,7.05,404.4,2,6.18,1018.1,28.6,98.99,27.622,34.658,420.3,406.9,406,393.1,12.9,407.3,394.3,12.9,8.03,2
