Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
LA_PARGUERA_67W_18N,17.954,-67.051,12/24/2013,21:17,406.1,2,6.96,394.7,2,6.25,1011.4,26.9,99.12,27.043,34.862,409,397.2,392.8,381.5,11.3,394.1,382.7,11.4,-999,4
LA_PARGUERA_67W_18N,17.954,-67.051,12/25/2013,0:17,409,2,6.54,400.8,2,6.15,1012.7,27.1,99.09,26.988,34.865,411.7,403.3,396,388,8.1,397.3,389.2,8.1,8.033,2
LA_PARGUERA_67W_18N,17.954,-67.051,12/25/2013,3:17,413.1,2,6.78,395.3,2,6.33,1013.3,26.8,98.85,26.954,34.866,415.9,397.8,400.4,383,17.4,401.6,384.2,17.5,8.033,2
LA_PARGUERA_67W_18N,17.954,-67.051,12/25/2013,6:17,414,2,6.24,401.3,2,5.75,1011.9,26.6,98.6,26.877,34.879,416.6,403.7,400.5,388.1,12.4,401.8,389.3,12.5,8.034,2
LA_PARGUERA_67W_18N,17.954,-67.051,12/25/2013,9:17,415.4,2,6.34,411.8,2,5.8,1011.3,26.1,98.49,26.871,34.877,418,414.2,401.7,398,3.7,402.9,399.2,3.7,8.032,2
LA_PARGUERA_67W_18N,17.954,-67.051,12/25/2013,18:17,418.3,2,7.95,394.6,2,7.26,1012.3,26.7,98.52,27.072,34.88,421.6,397.5,405.3,382.1,23.2,406.6,383.3,23.3,8.028,2
LA_PARGUERA_67W_18N,17.954,-67.051,12/25/2013,21:17,415.8,2,7.35,394.3,2,6.73,1012.5,27,98.78,27.098,34.884,418.9,397,402.8,381.7,21,404,382.9,21.1,8.032,2
LA_PARGUERA_67W_18N,17.954,-67.051,12/26/2013,0:17,416.3,2,6.45,401.7,2,5.91,1014.6,27.1,98.79,27.037,34.891,419,404.1,403.8,389.4,14.4,405.1,390.6,14.5,8.035,2
LA_PARGUERA_67W_18N,17.954,-67.051,12/26/2013,3:17,417.6,2,6.4,405.1,2,5.94,1015.1,26.9,98.67,26.98,34.893,420.3,407.5,405.3,393,12.3,406.5,394.2,12.3,8.029,2
LA_PARGUERA_67W_18N,17.954,-67.051,12/26/2013,6:17,422.5,2,6.22,407.5,2,5.69,1014.2,26.4,98.4,26.948,34.9,425.1,409.8,409.6,394.9,14.7,410.9,396.1,14.8,8.023,2
LA_PARGUERA_67W_18N,17.954,-67.051,12/26/2013,9:17,421.5,2,6.34,406.8,2,5.77,1014.2,26,98.19,26.898,34.909,424.2,409.2,408.8,394.3,14.5,410,395.5,14.6,8.031,2
