Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,PH_SW,QF_PH
LA_PARGUERA_67W_18N,17.952,-67.052,12/22/2015,19:17,403.4,2,9.09,398.3,2,8.65,1014.8,29.1,99,27.251,35.376,407.1,401.7,392.2,387.1,5.2,393.5,388.3,5.2,-999,5
LA_PARGUERA_67W_18N,17.952,-67.052,12/22/2015,19:47,406.1,2,6.29,401.1,2,5.74,1014.7,29.6,99.13,27.255,35.376,408.6,403.4,393.7,388.7,5,394.9,389.9,5,-999,5
LA_PARGUERA_67W_18N,17.952,-67.052,12/22/2015,20:17,406.3,2,6.02,401.7,2,5.44,1014.7,29.9,99.19,27.248,35.376,408.8,403.9,393.8,389.1,4.7,395.1,390.3,4.7,-999,5
LA_PARGUERA_67W_18N,17.952,-67.052,12/22/2015,20:47,406.2,2,5.99,401.5,2,5.32,1014.7,30,99.2,27.254,35.376,408.7,403.6,393.7,388.9,4.9,394.9,390.1,4.9,-999,5
LA_PARGUERA_67W_18N,17.952,-67.052,12/22/2015,21:17,405.7,2,5.97,401.7,2,5.25,1014.8,30.1,99.27,27.242,35.377,408.1,403.8,393.2,389.1,4.1,394.4,390.3,4.2,8.041,2
LA_PARGUERA_67W_18N,17.952,-67.052,12/22/2015,21:47,405.8,2,5.88,401.5,2,5.19,1015,30.2,99.34,27.234,35.377,408.2,403.6,393.4,389,4.4,394.6,390.2,4.4,-999,5
LA_PARGUERA_67W_18N,17.952,-67.052,12/22/2015,22:17,406,2,5.82,402.2,2,5.18,1015.3,30.3,99.31,27.215,35.377,408.4,404.3,393.7,389.7,4,394.9,391,4,-999,5
LA_PARGUERA_67W_18N,17.952,-67.052,12/22/2015,22:47,406.5,2,5.85,401.3,2,5.19,1015.5,30.3,99.28,27.209,35.378,408.9,403.4,394.3,389,5.3,395.6,390.3,5.3,-999,5
LA_PARGUERA_67W_18N,17.952,-67.052,12/23/2015,0:17,406.5,2,7.67,401.4,2,6.88,1016.5,29.4,99.16,27.182,35.379,409.6,404.2,395.4,390.2,5.3,396.6,391.4,5.3,8.046,2
LA_PARGUERA_67W_18N,17.952,-67.052,12/23/2015,3:17,406.9,2,8.15,406.4,2,7.38,1017,28.5,99,27.155,35.38,410.3,409.4,396.3,395.4,0.8,397.5,396.7,0.8,8.043,2
LA_PARGUERA_67W_18N,17.952,-67.052,12/23/2015,6:17,409.4,2,8.12,415.9,2,7.41,1016.1,28.1,98.88,27.125,35.381,412.7,419,398.3,404.3,-6,399.6,405.6,-6,8.045,2
LA_PARGUERA_67W_18N,17.952,-67.052,12/23/2015,9:17,412.9,2,7.78,408.7,2,7.05,1016,27.6,98.57,27.067,35.387,416.1,411.6,401.6,397.2,4.4,402.9,398.4,4.4,8.039,2
LA_PARGUERA_67W_18N,17.952,-67.052,12/23/2015,12:17,411.2,2,8.05,404.7,2,7.37,1018,27.1,98.46,27.024,35.394,414.6,407.7,400.9,394.3,6.6,402.2,395.5,6.7,8.042,2
LA_PARGUERA_67W_18N,17.952,-67.052,12/23/2015,15:17,408.3,2,8.64,399.1,2,7.86,1018.3,27.8,98.52,27.042,35.404,411.9,402.3,398.4,389.1,9.3,399.6,390.3,9.3,8.041,2
LA_PARGUERA_67W_18N,17.952,-67.052,12/23/2015,18:17,408.7,2,8.69,399.6,2,7.94,1015.3,28.4,98.75,27.177,35.394,412.3,402.8,397.5,388.4,9.1,398.8,389.6,9.2,8.042,2
LA_PARGUERA_67W_18N,17.952,-67.052,12/23/2015,21:17,407.6,2,8.83,399.7,2,8.04,1015.1,28.6,98.94,27.181,35.393,411.2,403,396.4,388.5,7.9,397.6,389.7,8,8.04,2
LA_PARGUERA_67W_18N,17.952,-67.052,12/24/2015,0:17,408.8,2,8.33,405.3,2,7.56,1017.1,28.4,98.88,27.145,35.395,412.2,408.4,398.2,394.4,3.7,399.4,395.7,3.7,8.038,2
LA_PARGUERA_67W_18N,17.952,-67.052,12/24/2015,3:17,412.2,2,8.17,405.2,2,7.38,1017.8,27.9,98.66,27.132,35.395,415.6,408.2,401.7,394.6,7.1,403,395.8,7.1,8.041,2
