Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
LA_PARGUERA_67W_18N,17.954,-67.051,1/21/2010,21:17,402.3,2,12.78,385.3,2,12.18,1014.1,30.2,100.12,27.635,35.306,407.5,390,392,375.2,16.8,393.2,376.4,16.9
LA_PARGUERA_67W_18N,17.954,-67.051,1/22/2010,0:17,406.6,2,12.88,386.3,2,12.19,1015.2,29.9,99.79,27.572,35.307,411.9,391.1,396.7,376.7,20.1,398,377.9,20.1
LA_PARGUERA_67W_18N,17.954,-67.051,1/22/2010,3:17,410.4,2,12.54,398.9,2,11.75,1015.9,29.2,99.37,27.532,35.307,415.6,403.6,400.7,389.1,11.6,401.9,390.3,11.6
LA_PARGUERA_67W_18N,17.954,-67.051,1/22/2010,6:17,399.9,2,12.38,401.2,2,11.53,1014.3,28.5,99.3,27.502,35.31,404.9,405.8,389.8,390.6,-0.9,391,391.8,-0.9
LA_PARGUERA_67W_18N,17.954,-67.051,1/22/2010,9:17,400.1,2,12.19,393.5,2,11.43,1013.7,27.9,99.25,27.483,35.312,405.1,398,389.7,382.9,6.8,390.9,384.1,6.8
LA_PARGUERA_67W_18N,17.954,-67.051,1/22/2010,12:17,414.2,2,12.94,391.6,2,12.26,1015.2,27.5,98.68,27.446,35.317,419.6,396.5,404.3,382,22.3,405.5,383.2,22.4
LA_PARGUERA_67W_18N,17.954,-67.051,1/22/2010,15:17,401.3,2,13.75,386.3,2,13.19,1015.5,27.8,98.97,27.58,35.32,406.9,391.4,392.1,377.1,14.9,393.3,378.3,15
LA_PARGUERA_67W_18N,17.954,-67.051,1/22/2010,18:17,391.1,2,14.03,385.4,2,13.48,1012.7,28.9,99.93,27.982,35.322,396.6,390.7,380.8,375,5.7,381.9,376.2,5.7
LA_PARGUERA_67W_18N,17.954,-67.051,1/22/2010,21:17,391,2,13.76,385.1,2,12.61,1012.3,30,100.16,27.863,35.325,396.4,390,380.5,374.3,6.1,381.6,375.5,6.2
LA_PARGUERA_67W_18N,17.954,-67.051,1/23/2010,0:17,397.6,2,13.21,386.2,2,12.33,1013.6,30.1,100.08,27.716,35.323,402.9,391,387.4,375.9,11.5,388.6,377.1,11.5
LA_PARGUERA_67W_18N,17.954,-67.051,1/23/2010,3:17,401,2,13.26,385.4,2,12.72,1014,29.3,99.79,27.63,35.322,406.4,390.4,390.9,375.5,15.4,392.1,376.7,15.4
LA_PARGUERA_67W_18N,17.954,-67.051,1/23/2010,6:17,407,2,13.2,385.4,2,12.65,1012.3,28.9,99.4,27.607,35.322,412.4,390.4,396.1,374.9,21.2,397.3,376,21.3
LA_PARGUERA_67W_18N,17.954,-67.051,1/23/2010,9:17,405.2,2,13.02,385.6,2,12.35,1012.2,28.6,99.16,27.538,35.324,410.5,390.5,394.2,375,19.3,395.4,376.1,19.3
LA_PARGUERA_67W_18N,17.954,-67.051,1/23/2010,12:17,402.3,2,13.27,391.5,2,12.88,1013.9,28.3,99.19,27.52,35.326,407.7,396.6,392.2,381.6,10.6,393.5,382.8,10.7
LA_PARGUERA_67W_18N,17.954,-67.051,1/23/2010,15:17,394.7,2,14.42,385,2,13.65,1014.8,28.5,99.34,27.657,35.331,400.4,390.3,385.5,375.8,9.7,386.7,376.9,9.8
LA_PARGUERA_67W_18N,17.954,-67.051,1/23/2010,18:17,395.7,2,14.17,384.7,2,12.41,1011.8,29.4,99.44,27.873,35.34,401.4,389.5,385.1,373.6,11.4,386.3,374.8,11.5
LA_PARGUERA_67W_18N,17.954,-67.051,1/23/2010,21:17,388.7,2,14.05,385,2,12.21,1011.3,30.3,99.96,27.863,35.336,394.3,389.8,378.1,373.7,4.3,379.2,374.9,4.3
LA_PARGUERA_67W_18N,17.954,-67.051,1/24/2010,0:17,398.1,2,13.58,385.5,2,11.89,1013.2,30.5,99.8,27.774,35.335,403.5,390.1,387.7,374.8,12.9,388.9,376,12.9
LA_PARGUERA_67W_18N,17.954,-67.051,1/24/2010,3:17,396.4,2,13.36,396.9,2,12.05,1014.3,29.8,99.73,27.686,35.337,401.7,401.7,386.5,386.5,0,387.7,387.7,0
LA_PARGUERA_67W_18N,17.954,-67.051,1/24/2010,6:17,400.4,2,12.66,398.2,2,11.7,1012.7,29,99.34,27.644,35.345,405.5,402.9,389.5,387.1,2.4,390.7,388.3,2.4
LA_PARGUERA_67W_18N,17.954,-67.051,1/24/2010,9:17,397.7,2,12,392.5,2,11.43,1012.8,28.1,99.27,27.603,35.348,402.5,397,386.8,381.4,5.3,388,382.6,5.3
LA_PARGUERA_67W_18N,17.954,-67.051,1/24/2010,12:17,395.1,2,13.23,393.2,2,12.72,1014.8,27.4,99.27,27.61,35.351,400.4,398.3,385.5,383.5,2,386.7,384.7,2
