Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
LA_PARGUERA_67W_18N,17.954,-67.051,1/16/2011,18:17,399.9,2,12.82,386.2,2,12.32,1013.6,27,99.13,26.612,35.121,405.1,391.1,390.3,376.8,13.5,391.6,378,13.6
LA_PARGUERA_67W_18N,17.954,-67.051,1/16/2011,21:17,403.6,2,13.05,385.1,2,12.54,1013.6,27.3,99.27,26.604,35.14,408.9,390,394,375.8,18.3,395.3,376.9,18.3
LA_PARGUERA_67W_18N,17.954,-67.051,1/17/2011,0:17,406.7,2,12.72,388,2,12.56,1015.2,27.4,99.23,26.567,35.144,411.9,392.9,397.6,379.3,18.3,398.8,380.5,18.4
LA_PARGUERA_67W_18N,17.954,-67.051,1/17/2011,3:17,408.4,2,12.08,394.5,2,12.27,1015.3,27,98.99,26.519,35.158,413.4,399.4,399.1,385.6,13.5,400.3,386.8,13.6
LA_PARGUERA_67W_18N,17.954,-67.051,1/17/2011,6:17,413.3,2,11.62,398.7,2,11.13,1014.9,26.3,98.7,26.502,35.182,418.2,403.2,403.6,389.1,14.4,404.9,390.4,14.5
LA_PARGUERA_67W_18N,17.954,-67.051,1/17/2011,9:17,409.8,2,11.52,399.1,2,11.05,1014.7,25.7,98.56,26.47,35.183,414.6,403.6,400.1,389.5,10.6,401.3,390.7,10.7
LA_PARGUERA_67W_18N,17.954,-67.051,1/17/2011,12:17,410.6,2,12.91,397.7,2,12.48,1016.3,25.4,98.51,26.452,35.183,416,402.8,402,389.3,12.8,403.3,390.5,12.8
LA_PARGUERA_67W_18N,17.954,-67.051,1/17/2011,15:17,408.1,2,13.33,385.9,2,13.22,1017.1,26,98.51,26.476,35.184,413.6,391.1,400.1,378.3,21.9,401.4,379.5,21.9
LA_PARGUERA_67W_18N,17.954,-67.051,1/17/2011,18:17,407.2,2,13.29,384.8,2,12.81,1014.6,26.7,98.79,26.614,35.184,412.7,389.8,398,375.9,22.1,399.3,377.1,22.2
LA_PARGUERA_67W_18N,17.954,-67.051,1/17/2011,21:17,408.7,2,12.95,384.9,2,13.16,1014.6,27.2,98.98,26.606,35.174,414.1,390.1,399.4,376.2,23.2,400.7,377.4,23.3
LA_PARGUERA_67W_18N,17.954,-67.051,1/18/2011,0:17,412.3,2,12.65,389,2,12.49,1015.9,27.3,98.89,26.544,35.171,417.6,393.9,403.4,380.5,22.9,404.6,381.7,22.9
LA_PARGUERA_67W_18N,17.954,-67.051,1/18/2011,3:17,415.5,2,12.4,396,2,11.89,1016.2,26.9,98.65,26.474,35.165,420.7,400.8,406.5,387.3,19.2,407.8,388.5,19.3
LA_PARGUERA_67W_18N,17.954,-67.051,1/18/2011,6:17,414.4,2,12.45,398.5,2,11.97,1015.3,26.5,98.46,26.437,35.174,419.6,403.4,405.2,389.5,15.7,406.5,390.7,15.8
LA_PARGUERA_67W_18N,17.954,-67.051,1/18/2011,9:17,414.2,2,12.27,390.9,2,11.79,1015,26.3,98.41,26.401,35.179,419.4,395.5,404.8,381.8,23,406.1,383,23.1
LA_PARGUERA_67W_18N,17.954,-67.051,1/18/2011,12:17,411.5,2,13.36,396.2,2,12.58,1017.2,26,98.36,26.402,35.181,417.1,401.2,403.6,388.2,15.3,404.8,389.4,15.4
