Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
LA_PARGUERA_67W_18N,17.954,-67.05,1/22/2015,13:47,436,2,5.99,408.9,2,5.6,1017,26,97.36,-999,-999,438.7,411.2,-999,-999,-999,-999,-999,-999,-999,5
LA_PARGUERA_67W_18N,17.954,-67.05,1/22/2015,14:17,434.5,2,4.81,410.2,2,4.41,1017.1,26.8,97.34,-999,-999,436.6,412,-999,-999,-999,-999,-999,-999,-999,5
LA_PARGUERA_67W_18N,17.954,-67.05,1/22/2015,14:47,431.2,2,4.87,403.9,2,4.6,1017.1,27.3,97.52,-999,-999,433.4,405.8,-999,-999,-999,-999,-999,-999,-999,5
LA_PARGUERA_67W_18N,17.954,-67.05,1/22/2015,15:17,427,2,4.97,404.1,2,4.75,1017,27.9,97.88,-999,-999,429.2,406,-999,-999,-999,-999,-999,-999,8.0184,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/22/2015,15:47,426.4,2,5.05,404.6,2,4.78,1016.7,28.4,98.65,-999,-999,428.6,406.5,-999,-999,-999,-999,-999,-999,-999,5
LA_PARGUERA_67W_18N,17.954,-67.05,1/22/2015,16:17,405,2,4.93,405.5,2,4.05,1016.2,29,100.21,-999,-999,407,407.1,-999,-999,-999,-999,-999,-999,-999,5
LA_PARGUERA_67W_18N,17.954,-67.05,1/22/2015,16:47,414.2,2,5.05,404.5,2,4.04,1015.8,29.5,101.09,-999,-999,416.3,406.2,-999,-999,-999,-999,-999,-999,-999,5
LA_PARGUERA_67W_18N,17.954,-67.05,1/22/2015,17:17,418.1,2,5.12,403.3,2,4.13,1015.4,29.9,101.11,-999,-999,420.2,404.9,-999,-999,-999,-999,-999,-999,-999,5
LA_PARGUERA_67W_18N,17.954,-67.05,1/22/2015,18:17,412.3,2,6.25,403.4,2,5.25,1014.7,30.1,101.41,27.647,35.079,414.9,405.5,399.4,390.3,9,400.6,391.6,9,8.0335,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/22/2015,21:17,414.9,2,6.47,399.7,2,5.84,1015,30.2,101.43,27.572,35.079,417.6,402.1,402.2,387.2,15,403.4,388.4,15.1,8.0405,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/23/2015,0:17,422,2,4.85,400.3,2,4.58,1016.7,29,100.83,27.446,35.072,424,402.1,409.2,388,21.2,410.5,389.2,21.2,8.018,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/23/2015,3:17,437.3,2,5.02,408.5,2,4.81,1016.9,27.6,99.8,27.336,35.072,439.5,410.5,424.3,396.3,28,425.6,397.5,28.1,8.0241,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/23/2015,6:17,462.9,2,5.05,415.9,2,4.81,1015.5,27,97.6,27.225,35.071,465.2,417.9,448.6,403,45.6,450,404.2,45.8,7.9902,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/23/2015,9:17,443.8,2,5.1,426.7,2,4.9,1014.9,26.7,97.12,27.136,35.014,446.1,428.8,429.9,413.3,16.6,431.3,414.6,16.7,8.0077,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/23/2015,12:17,424.5,2,5.67,406.1,2,5.21,1016.2,26.4,97.17,26.998,34.964,426.9,408.2,412.1,394,18.1,413.4,395.3,18.1,8.0187,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/23/2015,15:17,424.1,2,6.93,403.5,2,6.69,1016.9,27.1,97.88,27.304,34.983,427.1,406.2,412.4,392.2,20.1,413.6,393.4,20.2,8.0254,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/23/2015,18:17,420.2,2,7.41,403.5,2,6.36,1014.6,28.9,98.88,27.76,35.002,423.3,406.1,407.3,390.8,16.5,408.6,392,16.6,8.0361,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/23/2015,21:17,421.7,2,7.81,401.7,2,6.52,1014,30.2,99.45,27.801,35.008,425.1,404.3,408.8,388.8,20,410,390,20,8.0324,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/24/2015,0:17,416.6,2,6,409.4,2,5.47,1015,30.1,99.88,27.588,35.021,419.1,411.7,403.6,396.5,7.2,404.9,397.7,7.2,8.0335,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/24/2015,3:17,427.8,2,5.77,407.9,2,5.34,1015.8,29,99.25,27.412,35.021,430.3,410.1,414.9,395.4,19.5,416.2,396.6,19.5,8.0195,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/24/2015,6:17,431.7,2,5.4,415.1,2,5.06,1014.3,28.1,98.71,27.301,35.022,434.1,417.2,418,401.7,16.2,419.3,403,16.3,8.0185,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/24/2015,9:17,423.2,2,5.21,413.7,2,4.87,1014.4,27.3,98.46,27.186,35.021,425.4,415.7,409.8,400.4,9.4,411.1,401.7,9.4,8.0218,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/24/2015,12:17,420.5,2,5.77,409.6,2,5.37,1016.1,26.8,98.45,27.151,35.027,423,411.8,408.2,397.4,10.8,409.4,398.6,10.8,8.0278,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/24/2015,15:17,419.6,2,6.66,401.5,2,6.14,1017,27.4,98.61,27.211,35.037,422.4,404,408,390.1,17.8,409.2,391.4,17.9,8.0293,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/24/2015,18:17,411.1,2,6.53,399.3,2,5.99,1014.9,28.1,99.33,27.318,35.039,413.8,401.7,398.7,387.1,11.6,399.9,388.3,11.7,8.0448,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/24/2015,21:17,407.8,2,6.29,399.5,2,5.82,1014.2,28.2,99.95,27.335,35.037,410.4,401.9,395.1,386.9,8.2,396.4,388.1,8.3,8.0429,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/25/2015,0:17,411.2,2,5.73,400.3,2,5.44,1015.8,28,99.93,27.261,35.044,413.5,402.5,398.8,388.2,10.7,400.1,389.4,10.7,8.0429,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/25/2015,3:17,418.9,2,5.37,409.4,2,5.1,1016.3,27.6,99.44,27.246,35.045,421.2,411.5,406.4,397.1,9.3,407.7,398.3,9.4,8.0364,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/25/2015,6:17,418.4,2,5.26,408.9,2,4.99,1015,27.1,99.16,27.206,35.048,420.6,410.9,405.3,396.1,9.3,406.6,397.3,9.3,8.0262,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/25/2015,9:17,418.5,2,5.23,411.2,2,4.97,1014.2,26.6,98.97,27.142,35.051,420.7,413.3,405.2,398,7.1,406.4,399.3,7.1,8.0351,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/25/2015,12:17,421.9,2,5.79,408.6,2,5.43,1015.8,26.3,98.59,27.134,35.051,424.4,410.8,409.4,396.3,13,410.7,397.6,13.1,8.0336,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/25/2015,15:17,409.5,2,6.55,400.6,2,6.09,1016.4,26.9,99.04,27.19,35.059,412.2,403.1,397.8,389,8.8,399.1,390.2,8.8,8.0447,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/25/2015,18:17,408.9,2,6.62,399.3,2,6.08,1014,27.6,99.63,27.395,35.053,411.6,401.7,396.1,386.6,9.5,397.4,387.8,9.5,8.0455,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/25/2015,21:17,405.2,2,6.17,400.2,2,5.6,1014.3,28,100.13,27.384,35.055,407.8,402.5,392.6,387.5,5.1,393.8,388.7,5.1,8.0459,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/26/2015,0:17,409.3,2,5.6,408.7,2,5.27,1015.1,27.8,100.12,27.316,35.063,411.6,410.9,396.6,396,0.7,397.9,397.2,0.7,8.0541,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/26/2015,3:17,412.7,2,5.4,409.4,2,5.12,1015.6,27.3,99.89,27.268,35.063,414.9,411.5,400.1,396.8,3.3,401.3,398,3.3,8.0316,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/26/2015,6:17,418,2,5.34,408.6,2,5.04,1013.9,26.8,99.27,27.225,35.069,420.2,410.6,404.5,395.3,9.2,405.8,396.5,9.3,8.0298,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/26/2015,9:17,417.9,2,5.38,407,2,5.09,1013.5,26.5,99.04,27.185,35.069,420.2,409.1,404.3,393.7,10.6,405.6,394.9,10.7,8.03,2
LA_PARGUERA_67W_18N,17.954,-67.05,1/26/2015,12:17,420.3,2,5.88,404.4,2,5.49,1015,26.3,98.78,27.155,35.069,422.8,406.7,407.5,392,15.5,408.8,393.2,15.6,8.0445,2
