MOORING,DAY_OF_YEAR,DD,MM,YYYY,HH,FCO2_WAT,SST,SSS,ATM_PRE,OXYGEN,OXYGEN_TMP
,,,,,,UATM,DEG_C,,DBAR,UMOL/KG,DEG_C
PIRATA_6S_10W,132,12,5,2011,0,384.46,28.08,35.639,1010.9,194.45,28.12
PIRATA_6S_10W,132.04,12,5,2011,1,384.1388183,28.11,35.644,1010.3,194.62,28.11
PIRATA_6S_10W,132.08,12,5,2011,2,384.3876365,28.08,35.654,1009.4,194.44,28.12
PIRATA_6S_10W,132.13,12,5,2011,3,384.3664548,28.11,35.662,1009.1,194.44,28.11
PIRATA_6S_10W,132.17,12,5,2011,4,384.905273,28.1,35.675,1009.1,194.22,28.14
PIRATA_6S_10W,132.21,12,5,2011,5,384.9040913,28.05,35.669,1009.2,194.07,28.13
PIRATA_6S_10W,132.25,12,5,2011,6,384.4429096,28.02,35.66,1009.4,194.04,28.11
PIRATA_6S_10W,132.29,12,5,2011,7,384.4517278,28.02,35.651,1010,193.96,28.08
PIRATA_6S_10W,132.33,12,5,2011,8,383.8505461,28.1,35.655,1010.8,194.18,28.06
PIRATA_6S_10W,132.38,12,5,2011,9,384.3993643,28.07,35.664,1011.3,194.26,28.09
PIRATA_6S_10W,132.42,12,5,2011,10,383.8981826,28.08,35.642,1011.5,194.35,28.09
PIRATA_6S_10W,132.46,12,5,2011,11,383.5070009,28.12,35.635,1011.1,194.73,28.09
PIRATA_6S_10W,132.5,12,5,2011,12,383.6058191,28.13,35.631,1010.7,195.2,28.11
PIRATA_6S_10W,132.54,12,5,2011,13,383.3246374,28.16,35.632,1010.1,195.15,28.13
PIRATA_6S_10W,132.58,12,5,2011,14,383.4934557,28.17,35.637,1009.4,195.16,28.16
PIRATA_6S_10W,132.63,12,5,2011,15,383.8922739,28.16,35.637,1008.7,195.27,28.18
PIRATA_6S_10W,132.67,12,5,2011,16,383.2910922,28.15,35.636,1008.6,195.53,28.19
PIRATA_6S_10W,132.71,12,5,2011,17,383.5399104,28.11,35.64,1008.9,195.37,28.18
PIRATA_6S_10W,132.75,12,5,2011,18,383.1887287,28.11,35.643,1009.1,195.49,28.16
PIRATA_6S_10W,132.79,12,5,2011,19,383.377547,28.1,35.649,1009.2,195.24,28.15
PIRATA_6S_10W,132.83,12,5,2011,20,383.1263652,28.1,35.644,1009.7,195.33,28.14
PIRATA_6S_10W,132.88,12,5,2011,21,383.3151835,28.08,35.642,1010.2,195.3,28.13
PIRATA_6S_10W,132.92,12,5,2011,22,383.5040017,28.07,35.641,1010.8,195.37,28.12
PIRATA_6S_10W,132.96,12,5,2011,23,383.02282,28.08,35.647,1010.8,195.08,28.11
PIRATA_6S_10W,133,13,5,2011,0,382.9416383,28.1,35.653,1010.2,195.09,28.11
PIRATA_6S_10W,133.04,13,5,2011,1,383.0104565,28.09,35.672,1009.8,194.91,28.11
PIRATA_6S_10W,133.08,13,5,2011,2,382.8792748,28.07,35.674,1009.1,194.8,28.13
PIRATA_6S_10W,133.13,13,5,2011,3,382.658093,28.04,35.665,1008.5,194.76,28.11
PIRATA_6S_10W,133.17,13,5,2011,4,382.1169113,28.05,35.67,1008.4,194.92,28.08
PIRATA_6S_10W,133.21,13,5,2011,5,382.3457296,28.08,35.696,1008.6,194.62,28.07
PIRATA_6S_10W,133.25,13,5,2011,6,382.8045478,28.09,35.727,1009,194.46,28.1
PIRATA_6S_10W,133.29,13,5,2011,7,383.3633661,28.06,35.729,1009.4,194.43,28.11
PIRATA_6S_10W,133.33,13,5,2011,8,382.8721844,28.05,35.706,1009.9,194.5,28.11
PIRATA_6S_10W,133.38,13,5,2011,9,382.6010026,28.05,35.688,1010.8,194.68,28.08
PIRATA_6S_10W,133.42,13,5,2011,10,382.3598209,28.08,35.685,1011.4,194.82,28.07
PIRATA_6S_10W,133.46,13,5,2011,11,382.3486391,28.1,35.684,1011.3,195.01,28.09
PIRATA_6S_10W,133.5,13,5,2011,12,382.3974574,28.13,35.672,1010.6,195.33,28.1
PIRATA_6S_10W,133.54,13,5,2011,13,381.8262757,28.13,35.667,1009.8,195.64,28.11
PIRATA_6S_10W,133.58,13,5,2011,14,381.9850939,28.17,35.674,1009,195.63,28.13
PIRATA_6S_10W,133.63,13,5,2011,15,382.0739122,28.15,35.687,1008.5,195.79,28.16
PIRATA_6S_10W,133.67,13,5,2011,16,382.2427304,28.13,35.682,1008.1,195.83,28.17
PIRATA_6S_10W,133.71,13,5,2011,17,381.5215487,28.09,35.679,1008.4,195.93,28.16
PIRATA_6S_10W,133.75,13,5,2011,18,381.650367,28.09,35.678,1008.6,195.95,28.14
PIRATA_6S_10W,133.79,13,5,2011,19,382.1091852,28.09,35.684,1009.4,195.83,28.12
PIRATA_6S_10W,133.83,13,5,2011,20,382.5780035,28.1,35.694,1009.8,195.74,28.12
PIRATA_6S_10W,133.88,13,5,2011,21,382.2468217,28.12,35.704,1010.5,195.78,28.12
PIRATA_6S_10W,133.92,13,5,2011,22,383.15564,28.12,35.72,1011.2,195.58,28.13
PIRATA_6S_10W,133.96,13,5,2011,23,383.0844583,28.11,35.727,1010.7,195.29,28.14
PIRATA_6S_10W,134,14,5,2011,0,382.8132765,28.1,35.723,1010.3,195.47,28.15
PIRATA_6S_10W,134.04,14,5,2011,1,382.5220948,28.08,35.711,1010,195.13,28.14
PIRATA_6S_10W,134.08,14,5,2011,2,381.670913,28.06,35.7,1009.1,195.17,28.12
PIRATA_6S_10W,134.13,14,5,2011,3,381.5597313,28.07,35.699,1008.4,195.28,28.1
PIRATA_6S_10W,134.17,14,5,2011,4,381.5885496,28.06,35.702,1008.3,195.25,28.1
PIRATA_6S_10W,134.21,14,5,2011,5,381.7573678,28.06,35.706,1008.6,195.05,28.09
PIRATA_6S_10W,134.25,14,5,2011,6,381.9861861,28.05,35.711,1009.2,195.14,28.09
PIRATA_6S_10W,134.29,14,5,2011,7,381.6750044,28.04,35.711,1010,195.03,28.08
PIRATA_6S_10W,134.33,14,5,2011,8,381.4738226,28.06,35.707,1010.7,195.15,28.06
PIRATA_6S_10W,134.38,14,5,2011,9,381.6126409,28.07,35.715,1011.5,195.19,28.07
PIRATA_6S_10W,134.42,14,5,2011,10,381.7114591,28.08,35.72,1011.9,195.3,28.08
PIRATA_6S_10W,134.46,14,5,2011,11,381.6202774,28.1,35.721,1011.7,195.47,28.09
PIRATA_6S_10W,134.5,14,5,2011,12,381.6590957,28.12,35.724,1011.1,195.71,28.1
PIRATA_6S_10W,134.54,14,5,2011,13,381.3979139,28.15,35.727,1010.3,195.75,28.12
PIRATA_6S_10W,134.58,14,5,2011,14,380.9467322,28.13,35.726,1009.4,196,28.15
PIRATA_6S_10W,134.63,14,5,2011,15,381.0855504,28.16,35.725,1008.9,195.95,28.15
PIRATA_6S_10W,134.67,14,5,2011,16,380.5943687,28.12,35.726,1008.5,196.01,28.16
PIRATA_6S_10W,134.71,14,5,2011,17,379.883187,28.11,35.716,1008.9,195.87,28.16
PIRATA_6S_10W,134.75,14,5,2011,18,379.6820052,28.09,35.707,1009.6,195.92,28.14
PIRATA_6S_10W,134.79,14,5,2011,19,379.3208235,28.08,35.695,1009.9,195.79,28.13
