MOORING,DAY_OF_YEAR,DD,MM,YYYY,HH,SS,LATITUDE,LONGITUDE,FCO2_WAT,SST,SSS,ATM_PRE
,,,,,,,,,UATM,DEG_C,,
PIRATA_6S_10W,261,17,9,2008,0,14,-6,-10,423.1,24.14,36.028,1015.4
PIRATA_6S_10W,261.04,17,9,2008,1,44,-6,-10,423.2,24.14,36.0274,1014.7
PIRATA_6S_10W,261.08,17,9,2008,2,11,-6,-10,423.2,24.12,36.0267,1013.8
PIRATA_6S_10W,261.12,17,9,2008,3,5,-6,-10,423,24.11,36.0261,1013.4
PIRATA_6S_10W,261.17,17,9,2008,4,18,-6,-10,423.5,24.1,36.0255,1013.1
PIRATA_6S_10W,261.21,17,9,2008,5,45,-6,-10,422.5,24.11,36.0249,1013
PIRATA_6S_10W,261.25,17,9,2008,6,24,-6,-10,422.2,24.12,36.0243,1013
PIRATA_6S_10W,261.29,17,9,2008,7,13,-6,-10,421.7,24.14,36.0236,1013.7
PIRATA_6S_10W,261.33,17,9,2008,8,19,-6,-10,420.9,24.14,36.023,1014.3
PIRATA_6S_10W,261.38,17,9,2008,9,51,-6,-10,421.1,24.16,36.0224,1014.8
PIRATA_6S_10W,261.42,17,9,2008,10,14,-6,-10,420.4,24.16,36.0218,1015.1
PIRATA_6S_10W,261.46,17,9,2008,11,56,-6,-10,420.5,24.16,36.0211,1015.3
PIRATA_6S_10W,261.5,17,9,2008,12,22,-6,-10,419.4,24.23,36.0205,1014.8
PIRATA_6S_10W,261.54,17,9,2008,13,44,-6,-10,419.1,24.24,36.0199,1014.1
PIRATA_6S_10W,261.58,17,9,2008,14,20,-6,-10,419.8,24.28,36.0192,1013.3
PIRATA_6S_10W,261.62,17,9,2008,15,1,-6,-10,419.2,24.28,36.0186,1012.7
PIRATA_6S_10W,261.67,17,9,2008,16,27,-6,-10,418.9,24.25,36.018,1012.3
PIRATA_6S_10W,261.71,17,9,2008,17,4,-6,-10,418.6,24.24,36.0174,1012.3
PIRATA_6S_10W,261.75,17,9,2008,18,44,-6,-10,418.4,24.23,36.0168,1012.6
PIRATA_6S_10W,261.79,17,9,2008,19,6,-6,-10,417.7,24.19,36.0161,1013
PIRATA_6S_10W,261.83,17,9,2008,20,34,-6,-10,417.4,24.19,36.0155,1013.8
PIRATA_6S_10W,261.88,17,9,2008,21,15,-6,-10,417.2,24.18,36.0149,1014.4
PIRATA_6S_10W,261.92,17,9,2008,22,22,-6,-10,417.2,24.19,36.0143,1015
PIRATA_6S_10W,261.96,17,9,2008,23,53,-6,-10,416.6,24.16,36.0136,1015.3
PIRATA_6S_10W,262,18,9,2008,0,49,-6,-10,416.9,24.17,36.013,1015.2
PIRATA_6S_10W,262.04,18,9,2008,1,36,-6,-10,416.6,24.16,36.0128,1014.5
PIRATA_6S_10W,262.08,18,9,2008,2,7,-6,-10,416.9,24.16,36.0127,1013.8
PIRATA_6S_10W,262.12,18,9,2008,3,46,-6,-10,416.6,24.16,36.0125,1013.5
PIRATA_6S_10W,262.17,18,9,2008,4,11,-6,-10,416.9,24.16,36.0123,1013.2
PIRATA_6S_10W,262.21,18,9,2008,5,36,-6,-10,417.2,24.15,36.0122,1013.5
PIRATA_6S_10W,262.25,18,9,2008,6,54,-6,-10,417.7,24.15,36.012,1013.9
