MOORING,DAY_OF_YEAR,DD,MM,YYYY,HH,SS,LATITUDE,LONGITUDE,FCO2_WAT,SST,SSS
,,,,,,,,,UATM,,
PIRATA_6S_10W,143,23,5,2013,0,36,-6,-10,402.9,27.73,35.079
PIRATA_6S_10W,143.04,23,5,2013,1,50,-6,-10,405.5,27.73,35.081
PIRATA_6S_10W,143.09,23,5,2013,2,39,-6,-10,406.9,27.73,35.082
PIRATA_6S_10W,143.13,23,5,2013,3,59,-6,-10,408.2,27.73,35.083
PIRATA_6S_10W,143.17,23,5,2013,4,33,-6,-10,409.8,27.71,35.084
PIRATA_6S_10W,143.21,23,5,2013,5,2,-6,-10,410.4,27.7,35.082
PIRATA_6S_10W,143.25,23,5,2013,6,35,-6,-10,411,27.7,35.082
PIRATA_6S_10W,143.29,23,5,2013,7,1,-6,-10,411.1,27.69,35.084
PIRATA_6S_10W,143.34,23,5,2013,8,43,-6,-10,410.9,27.71,35.085
PIRATA_6S_10W,143.38,23,5,2013,9,56,-6,-10,411.5,27.73,35.086
PIRATA_6S_10W,143.42,23,5,2013,10,40,-6,-10,411.4,27.77,35.087
PIRATA_6S_10W,143.46,23,5,2013,11,4,-6,-10,411,27.78,35.086
PIRATA_6S_10W,143.5,23,5,2013,12,41,-6,-10,410.4,27.84,35.085
PIRATA_6S_10W,143.54,23,5,2013,13,57,-6,-10,410.3,27.9,35.084
PIRATA_6S_10W,143.59,23,5,2013,14,35,-6,-10,410.1,27.92,35.085
PIRATA_6S_10W,143.63,23,5,2013,15,4,-6,-10,410,27.9,35.082
PIRATA_6S_10W,143.67,23,5,2013,16,44,-6,-10,409.7,27.85,35.079
PIRATA_6S_10W,143.71,23,5,2013,17,14,-6,-10,409.2,27.82,35.077
PIRATA_6S_10W,143.75,23,5,2013,18,48,-6,-10,408,27.8,35.074
PIRATA_6S_10W,143.79,23,5,2013,19,15,-6,-10,407.1,27.77,35.073
PIRATA_6S_10W,143.84,23,5,2013,20,41,-6,-10,407.6,27.74,35.072
PIRATA_6S_10W,143.88,23,5,2013,21,42,-6,-10,407.5,27.74,35.072
PIRATA_6S_10W,143.92,23,5,2013,22,58,-6,-10,407.2,27.72,35.071
PIRATA_6S_10W,143.96,23,5,2013,23,27,-6,-10,407,27.73,35.074
