MOORING,DAY_OF_YEAR,DD,MM,YYYY,HH,SS,FCO2_WAT,SST,SSS,ATM_PRE,OXYGEN,OXYGEN_TMP
,,,,,,,UATM,DEG_C,,,UMOL/KG,DEG_C
PIRATA_6S_10W,159,8,6,2006,0,58,375.5,27.3,35.98,1013.5,195.15,27.32
PIRATA_6S_10W,159.04,8,6,2006,1,28,376.2,27.31,35.977,1012.9,195.15,27.32
PIRATA_6S_10W,159.08,8,6,2006,2,58,375,27.3,35.972,1012.4,195.23,27.32
PIRATA_6S_10W,159.13,8,6,2006,3,28,375.6,27.29,35.968,1012.1,195.23,27.31
PIRATA_6S_10W,159.17,8,6,2006,4,58,375.2,27.27,35.968,1011.7,195.55,27.31
PIRATA_6S_10W,159.21,8,6,2006,5,28,375.8,27.28,35.964,1012.1,195.35,27.3
PIRATA_6S_10W,159.25,8,6,2006,6,58,375.3,27.27,35.96,1012.7,195.78,27.3
PIRATA_6S_10W,159.29,8,6,2006,7,28,375.7,27.28,35.96,1013,195.74,27.3
PIRATA_6S_10W,159.33,8,6,2006,8,58,375.6,27.28,35.955,1013.6,196.23,27.3
PIRATA_6S_10W,159.38,8,6,2006,9,28,374.4,27.31,35.952,1014.3,196.3,27.3
PIRATA_6S_10W,159.42,8,6,2006,10,58,375.3,27.33,35.947,1014.7,196.71,27.31
PIRATA_6S_10W,159.46,8,6,2006,11,28,374.8,27.35,35.942,1014.4,197.25,27.33
PIRATA_6S_10W,159.5,8,6,2006,12,58,374,27.37,35.939,1013.7,197.33,27.35
PIRATA_6S_10W,159.54,8,6,2006,13,28,374.5,27.39,35.937,1012.9,197.6,27.37
PIRATA_6S_10W,159.58,8,6,2006,14,58,374.4,27.39,35.936,1012.1,198.02,27.39
PIRATA_6S_10W,159.63,8,6,2006,15,28,374.5,27.4,35.934,1011.3,198.03,27.4
PIRATA_6S_10W,159.67,8,6,2006,16,58,374.5,27.38,35.932,1010.8,198.44,27.41
PIRATA_6S_10W,159.71,8,6,2006,17,28,374.3,27.36,35.93,1011.1,198.47,27.41
PIRATA_6S_10W,159.75,8,6,2006,18,58,374.7,27.34,35.927,1011.3,198.46,27.39
PIRATA_6S_10W,159.79,8,6,2006,19,28,375.5,27.33,35.925,1012,198.52,27.37
PIRATA_6S_10W,159.83,8,6,2006,20,58,375.2,27.32,35.923,1012.7,198.86,27.36
PIRATA_6S_10W,159.88,8,6,2006,21,28,374.2,27.31,35.921,1013.3,198.86,27.35
PIRATA_6S_10W,159.92,8,6,2006,22,58,373.9,27.3,35.923,1013.7,198.89,27.34
PIRATA_6S_10W,159.96,8,6,2006,23,28,374.9,27.3,35.919,1013.8,198.84,27.33
PIRATA_6S_10W,160,9,6,2006,0,58,374.1,27.29,35.916,1013.6,198.87,27.32
PIRATA_6S_10W,160.04,9,6,2006,1,28,373.1,27.29,35.914,1013.3,198.69,27.31
PIRATA_6S_10W,160.08,9,6,2006,2,58,373.4,27.27,35.916,1012.7,198.98,27.31
PIRATA_6S_10W,160.13,9,6,2006,3,28,373.1,27.25,35.916,1012.2,198.78,27.3
PIRATA_6S_10W,160.17,9,6,2006,4,58,373.2,27.26,35.921,1011.8,198.47,27.29
PIRATA_6S_10W,160.21,9,6,2006,5,28,372.1,27.25,35.924,1011.7,198.46,27.28
PIRATA_6S_10W,160.25,9,6,2006,6,59,372.9,27.25,35.922,1012.3,198.48,27.27
PIRATA_6S_10W,160.29,9,6,2006,7,28,373.2,27.25,35.921,1012.6,198.44,27.27
PIRATA_6S_10W,160.33,9,6,2006,8,58,372.4,27.25,35.921,1013.2,198.56,27.27
PIRATA_6S_10W,160.38,9,6,2006,9,28,372.8,27.27,35.922,1014,198.79,27.27
PIRATA_6S_10W,160.42,9,6,2006,10,58,372.4,27.29,35.921,1014.3,198.71,27.28
