Mooring Name,Latitude,Longitude,Date,xCO2  SW (wet) (umol/mol)
Stratus,-19.6,-85.4,1/19/2010,405.2
Stratus,-19.6,-85.4,1/19/2010,403.4
Stratus,-19.6,-85.4,1/19/2010,404.4
Stratus,-19.6,-85.4,1/19/2010,403.7
Stratus,-19.6,-85.4,1/19/2010,404.6
Stratus,-19.6,-85.4,1/19/2010,408.1
Stratus,-19.6,-85.4,1/19/2010,410.5
Stratus,-19.6,-85.4,1/19/2010,411.3
Stratus,-19.6,-85.4,1/20/2010,408.8
Stratus,-19.6,-85.4,1/20/2010,408.2
Stratus,-19.6,-85.4,1/20/2010,406.5
Stratus,-19.6,-85.4,1/20/2010,405.8
Stratus,-19.6,-85.4,1/20/2010,406.9
Stratus,-19.6,-85.4,1/20/2010,407.2
Stratus,-19.6,-85.4,1/20/2010,409.7
Stratus,-19.6,-85.4,1/20/2010,411.2
Stratus,-19.6,-85.4,1/21/2010,408.8
Stratus,-19.6,-85.4,1/21/2010,407.3
Stratus,-19.6,-85.4,1/21/2010,406.8
Stratus,-19.6,-85.4,1/21/2010,408.4
Stratus,-19.6,-85.4,1/21/2010,408.1
Stratus,-19.6,-85.4,1/21/2010,410.9
Stratus,-19.6,-85.4,1/21/2010,413.3
Stratus,-19.6,-85.4,1/21/2010,414.3
Stratus,-19.6,-85.4,1/22/2010,412.4
Stratus,-19.6,-85.4,1/22/2010,409.5
Stratus,-19.6,-85.4,1/22/2010,408.7
Stratus,-19.6,-85.4,1/22/2010,409.5
Stratus,-19.6,-85.4,1/22/2010,408.2
Stratus,-19.6,-85.4,1/22/2010,409.2
Stratus,-19.6,-85.4,1/22/2010,413.5
Stratus,-19.6,-85.4,1/22/2010,415.5
Stratus,-19.6,-85.4,1/23/2010,413.6
Stratus,-19.6,-85.4,1/23/2010,411.2
Stratus,-19.6,-85.4,1/23/2010,411.2
Stratus,-19.6,-85.4,1/23/2010,410.7
Stratus,-19.6,-85.4,1/23/2010,409.9
Stratus,-19.6,-85.4,1/23/2010,411.3
Stratus,-19.6,-85.4,1/23/2010,412.6
Stratus,-19.6,-85.4,1/23/2010,414
Stratus,-19.6,-85.4,1/24/2010,411.2
Stratus,-19.6,-85.4,1/24/2010,410.1
Stratus,-19.6,-85.4,1/24/2010,409.7
Stratus,-19.6,-85.4,1/24/2010,410.2
Stratus,-19.6,-85.4,1/24/2010,410.3
Stratus,-19.6,-85.4,1/24/2010,409.7
Stratus,-19.6,-85.4,1/24/2010,411.3
Stratus,-19.6,-85.4,1/24/2010,414.5
Stratus,-19.6,-85.4,1/25/2010,410.4
Stratus,-19.6,-85.4,1/25/2010,406.7
Stratus,-19.6,-85.4,1/25/2010,405.3
Stratus,-19.6,-85.4,1/25/2010,405.8
Stratus,-19.6,-85.4,1/25/2010,404.9
Stratus,-19.6,-85.4,1/25/2010,404.4
Stratus,-19.6,-85.4,1/25/2010,405.5
Stratus,-19.6,-85.4,1/25/2010,407.4
Stratus,-19.6,-85.4,1/26/2010,404
Stratus,-19.6,-85.4,1/26/2010,403.3
Stratus,-19.6,-85.4,1/26/2010,402.7
Stratus,-19.6,-85.4,1/26/2010,403.5
Stratus,-19.6,-85.4,1/26/2010,403.3
Stratus,-19.6,-85.4,1/26/2010,403.9
Stratus,-19.6,-85.4,1/26/2010,411.7
Stratus,-19.6,-85.4,1/26/2010,423.7
Stratus,-19.6,-85.4,1/27/2010,418.9
Stratus,-19.6,-85.4,1/27/2010,411.6
Stratus,-19.6,-85.4,1/27/2010,411.3
Stratus,-19.6,-85.4,1/27/2010,410.7
Stratus,-19.6,-85.4,1/27/2010,410.8
Stratus,-19.6,-85.4,1/27/2010,412.2
Stratus,-19.6,-85.4,1/27/2010,416.3
Stratus,-19.6,-85.4,1/27/2010,416.7
Stratus,-19.6,-85.4,1/28/2010,413.8
Stratus,-19.6,-85.4,1/28/2010,412.5
Stratus,-19.6,-85.4,1/28/2010,412.2
Stratus,-19.6,-85.4,1/28/2010,412.3
Stratus,-19.6,-85.4,1/28/2010,408.9
Stratus,-19.6,-85.4,1/28/2010,407.1
Stratus,-19.6,-85.4,1/28/2010,410
Stratus,-19.6,-85.4,1/28/2010,412.7
Stratus,-19.6,-85.4,1/29/2010,408
Stratus,-19.6,-85.4,1/29/2010,406.2
Stratus,-19.6,-85.4,1/29/2010,405
Stratus,-19.6,-85.4,1/29/2010,404.8
Stratus,-19.6,-85.4,1/29/2010,403.5
Stratus,-19.6,-85.4,1/29/2010,404.7
Stratus,-19.6,-85.4,1/29/2010,409.5
Stratus,-19.6,-85.4,1/29/2010,406.7
Stratus,-19.6,-85.4,1/30/2010,406.7
Stratus,-19.6,-85.4,1/30/2010,406.1
Stratus,-19.6,-85.4,1/30/2010,406.8
Stratus,-19.6,-85.4,1/30/2010,406.8
Stratus,-19.6,-85.4,1/30/2010,407
Stratus,-19.6,-85.4,1/30/2010,406.2
Stratus,-19.6,-85.4,1/30/2010,409.9
Stratus,-19.6,-85.4,1/30/2010,409.2
Stratus,-19.6,-85.4,1/31/2010,408.4
Stratus,-19.6,-85.4,1/31/2010,409.3
Stratus,-19.6,-85.4,1/31/2010,407.1
Stratus,-19.6,-85.4,1/31/2010,408.7
Stratus,-19.6,-85.4,1/31/2010,408.5
Stratus,-19.6,-85.4,1/31/2010,409.1
Stratus,-19.6,-85.4,1/31/2010,410.1
Stratus,-19.6,-85.4,1/31/2010,411.2
Stratus,-19.6,-85.4,2/1/2010,409.8
Stratus,-19.6,-85.4,2/1/2010,409.9
Stratus,-19.6,-85.4,2/1/2010,409.5
Stratus,-19.6,-85.4,2/1/2010,409.5
Stratus,-19.6,-85.4,2/1/2010,409.6
Stratus,-19.6,-85.4,2/1/2010,409.5
Stratus,-19.6,-85.4,2/1/2010,411.3
Stratus,-19.6,-85.4,2/1/2010,411.4
Stratus,-19.6,-85.4,2/2/2010,410.5
Stratus,-19.6,-85.4,2/2/2010,408.1
Stratus,-19.6,-85.4,2/2/2010,408.6
Stratus,-19.6,-85.4,2/2/2010,408.2
Stratus,-19.6,-85.4,2/2/2010,408.3
Stratus,-19.6,-85.4,2/2/2010,407.9
Stratus,-19.6,-85.4,2/2/2010,409.1
Stratus,-19.6,-85.4,2/2/2010,410.8
Stratus,-19.6,-85.4,2/3/2010,408.5
Stratus,-19.6,-85.4,2/3/2010,406.9
Stratus,-19.6,-85.4,2/3/2010,406.6
Stratus,-19.6,-85.4,2/3/2010,406.5
Stratus,-19.6,-85.4,2/3/2010,405.8
