Mooring Name,Latitude,Longitude,Date,xCO2  SW (wet) (umol/mol)
Stratus,-19.61,-85.4,10/27/2007,368.2
Stratus,-19.61,-85.4,10/27/2007,368.4
Stratus,-19.61,-85.4,10/27/2007,367.9
Stratus,-19.61,-85.4,10/27/2007,367.3
Stratus,-19.61,-85.4,10/27/2007,366.6
Stratus,-19.61,-85.4,10/27/2007,366.4
Stratus,-19.61,-85.4,10/28/2007,366.2
Stratus,-19.61,-85.4,10/28/2007,366.1
Stratus,-19.61,-85.4,10/28/2007,365.9
Stratus,-19.61,-85.4,10/28/2007,365.9
Stratus,-19.61,-85.4,10/28/2007,365.7
Stratus,-19.61,-85.4,10/28/2007,365.7
Stratus,-19.61,-85.4,10/28/2007,365.7
Stratus,-19.61,-85.4,10/28/2007,365.6
Stratus,-19.61,-85.4,10/28/2007,365.9
Stratus,-19.61,-85.4,10/28/2007,365.8
Stratus,-19.61,-85.4,10/28/2007,366.1
Stratus,-19.61,-85.4,10/28/2007,365.9
Stratus,-19.61,-85.4,10/28/2007,366.2
Stratus,-19.61,-85.4,10/28/2007,366.2
Stratus,-19.61,-85.4,10/28/2007,366.5
Stratus,-19.61,-85.4,10/28/2007,366.5
Stratus,-19.61,-85.4,10/28/2007,367.8
Stratus,-19.61,-85.4,10/28/2007,366.2
Stratus,-19.61,-85.4,10/28/2007,367.8
Stratus,-19.61,-85.4,10/28/2007,371.2
Stratus,-19.61,-85.4,10/28/2007,370.9
Stratus,-19.61,-85.4,10/28/2007,369.9
Stratus,-19.61,-85.4,10/29/2007,369.5
Stratus,-19.61,-85.4,10/29/2007,369.3
Stratus,-19.61,-85.4,10/29/2007,369
Stratus,-19.61,-85.4,10/29/2007,368.9
Stratus,-19.61,-85.4,10/29/2007,368.5
Stratus,-19.61,-85.4,10/29/2007,368.8
Stratus,-19.61,-85.4,10/29/2007,369.3
Stratus,-19.61,-85.4,10/29/2007,369.1
Stratus,-19.61,-85.4,10/29/2007,369.2
Stratus,-19.61,-85.4,10/29/2007,369.4
Stratus,-19.61,-85.4,10/29/2007,369.6
Stratus,-19.61,-85.4,10/29/2007,369.2
Stratus,-19.61,-85.4,10/29/2007,369.3
Stratus,-19.61,-85.4,10/29/2007,367.9
Stratus,-19.61,-85.4,10/29/2007,368.2
Stratus,-19.61,-85.4,10/29/2007,369.1
Stratus,-19.61,-85.4,10/29/2007,369.3
Stratus,-19.61,-85.4,10/29/2007,369.6
Stratus,-19.61,-85.4,10/29/2007,370.9
Stratus,-19.61,-85.4,10/29/2007,370.6
Stratus,-19.61,-85.4,10/29/2007,370.3
Stratus,-19.61,-85.4,10/29/2007,369.7
Stratus,-19.61,-85.4,10/29/2007,369.4
Stratus,-19.61,-85.4,10/29/2007,369.6
Stratus,-19.61,-85.4,10/30/2007,368.7
