Mooring Name,Latitude,Longitude,Date,xCO2  SW (wet) (umol/mol)
Stratus,-19.7,-85.62,10/26/2008,386.6
Stratus,-19.7,-85.62,10/26/2008,383.8
Stratus,-19.7,-85.62,10/26/2008,386.5
Stratus,-19.7,-85.62,10/26/2008,389.9
Stratus,-19.7,-85.62,10/27/2008,388.2
Stratus,-19.7,-85.62,10/27/2008,388.2
Stratus,-19.7,-85.62,10/27/2008,386.6
Stratus,-19.7,-85.62,10/27/2008,385.8
Stratus,-19.7,-85.62,10/27/2008,383.3
Stratus,-19.7,-85.62,10/27/2008,382
Stratus,-19.7,-85.62,10/27/2008,386.5
Stratus,-19.7,-85.62,10/27/2008,388
Stratus,-19.7,-85.62,10/28/2008,386.2
Stratus,-19.7,-85.62,10/28/2008,383.5
Stratus,-19.7,-85.62,10/28/2008,383.8
Stratus,-19.7,-85.62,10/28/2008,384.5
Stratus,-19.7,-85.62,10/28/2008,383.6
Stratus,-19.7,-85.62,10/28/2008,381.9
Stratus,-19.7,-85.62,10/28/2008,383.4
Stratus,-19.7,-85.62,10/28/2008,384.5
Stratus,-19.7,-85.62,10/29/2008,388.8
Stratus,-19.7,-85.62,10/29/2008,384.5
Stratus,-19.7,-85.62,10/29/2008,385.3
Stratus,-19.7,-85.62,10/29/2008,385.3
Stratus,-19.7,-85.62,10/29/2008,383.6
Stratus,-19.7,-85.62,10/29/2008,382.1
Stratus,-19.7,-85.62,10/29/2008,383.8
Stratus,-19.7,-85.62,10/29/2008,383.5
Stratus,-19.7,-85.62,10/30/2008,384
Stratus,-19.7,-85.62,10/30/2008,382.8
Stratus,-19.7,-85.62,10/30/2008,384.8
Stratus,-19.7,-85.62,10/30/2008,384.6
Stratus,-19.7,-85.62,10/30/2008,382
Stratus,-19.7,-85.62,10/30/2008,381.2
Stratus,-19.7,-85.62,10/30/2008,384.9
Stratus,-19.7,-85.62,10/30/2008,384.3
Stratus,-19.7,-85.62,10/31/2008,384.7
Stratus,-19.7,-85.62,10/31/2008,382.9
