Mooring Name,Latitude,Longitude,Date,xCO2  SW (wet) (umol/mol)
STRATUS_85W_20S,-19.925,-85.302,5/28/2012,393.6
STRATUS_85W_20S,-19.925,-85.302,5/28/2012,393.6
STRATUS_85W_20S,-19.925,-85.302,5/28/2012,394
STRATUS_85W_20S,-19.925,-85.302,5/28/2012,394.1
STRATUS_85W_20S,-19.925,-85.302,5/28/2012,393.1
STRATUS_85W_20S,-19.925,-85.302,5/28/2012,393.9
STRATUS_85W_20S,-19.925,-85.302,5/28/2012,397.3
STRATUS_85W_20S,-19.925,-85.302,5/28/2012,394.6
STRATUS_85W_20S,-19.925,-85.302,5/29/2012,392.1
STRATUS_85W_20S,-19.925,-85.302,5/29/2012,391.2
STRATUS_85W_20S,-19.925,-85.302,5/29/2012,391.6
STRATUS_85W_20S,-19.925,-85.302,5/29/2012,391.7
STRATUS_85W_20S,-19.925,-85.302,5/29/2012,391.9
STRATUS_85W_20S,-19.925,-85.302,5/29/2012,392.6
STRATUS_85W_20S,-19.925,-85.302,5/29/2012,394.7
STRATUS_85W_20S,-19.925,-85.302,5/29/2012,394.4
STRATUS_85W_20S,-19.925,-85.302,5/30/2012,393.3
STRATUS_85W_20S,-19.925,-85.302,5/30/2012,392.4
STRATUS_85W_20S,-19.925,-85.302,5/30/2012,392
STRATUS_85W_20S,-19.925,-85.302,5/30/2012,392.4
STRATUS_85W_20S,-19.925,-85.302,5/30/2012,391.5
STRATUS_85W_20S,-19.925,-85.302,5/30/2012,392.8
STRATUS_85W_20S,-19.925,-85.302,5/30/2012,393.9
STRATUS_85W_20S,-19.925,-85.302,5/30/2012,393.6
STRATUS_85W_20S,-19.925,-85.302,5/31/2012,392
STRATUS_85W_20S,-19.925,-85.302,5/31/2012,391.3
STRATUS_85W_20S,-19.925,-85.302,5/31/2012,391.3
STRATUS_85W_20S,-19.925,-85.302,5/31/2012,391.6
STRATUS_85W_20S,-19.925,-85.302,5/31/2012,392
STRATUS_85W_20S,-19.925,-85.302,5/31/2012,392.8
STRATUS_85W_20S,-19.925,-85.302,5/31/2012,393.3
STRATUS_85W_20S,-19.925,-85.302,5/31/2012,392.7
STRATUS_85W_20S,-19.925,-85.302,6/1/2012,391.2
STRATUS_85W_20S,-19.925,-85.302,6/1/2012,390.6
STRATUS_85W_20S,-19.925,-85.302,6/1/2012,390.3
STRATUS_85W_20S,-19.925,-85.302,6/1/2012,390.6
STRATUS_85W_20S,-19.925,-85.302,6/1/2012,390.6
STRATUS_85W_20S,-19.925,-85.302,6/1/2012,391
STRATUS_85W_20S,-19.925,-85.302,6/1/2012,391.7
STRATUS_85W_20S,-19.925,-85.302,6/1/2012,391.6
STRATUS_85W_20S,-19.925,-85.302,6/2/2012,390.5
STRATUS_85W_20S,-19.925,-85.302,6/2/2012,389.9
STRATUS_85W_20S,-19.925,-85.302,6/2/2012,390.4
STRATUS_85W_20S,-19.925,-85.302,6/2/2012,391.7
STRATUS_85W_20S,-19.925,-85.302,6/2/2012,391
STRATUS_85W_20S,-19.925,-85.302,6/2/2012,391
STRATUS_85W_20S,-19.925,-85.302,6/2/2012,391.8
STRATUS_85W_20S,-19.925,-85.302,6/2/2012,391.7
STRATUS_85W_20S,-19.925,-85.302,6/3/2012,390.4
STRATUS_85W_20S,-19.925,-85.302,6/3/2012,390.6
STRATUS_85W_20S,-19.925,-85.302,6/3/2012,389.9
STRATUS_85W_20S,-19.925,-85.302,6/3/2012,390.3
STRATUS_85W_20S,-19.925,-85.302,6/3/2012,390.8
STRATUS_85W_20S,-19.925,-85.302,6/3/2012,391.4
STRATUS_85W_20S,-19.925,-85.302,6/3/2012,392.4
STRATUS_85W_20S,-19.925,-85.302,6/3/2012,392.1
STRATUS_85W_20S,-19.925,-85.302,6/4/2012,392
STRATUS_85W_20S,-19.925,-85.302,6/4/2012,390.3
STRATUS_85W_20S,-19.925,-85.302,6/4/2012,391.8
STRATUS_85W_20S,-19.925,-85.302,6/4/2012,394.1
STRATUS_85W_20S,-19.925,-85.302,6/4/2012,396
STRATUS_85W_20S,-19.925,-85.302,6/4/2012,395.1
STRATUS_85W_20S,-19.925,-85.302,6/4/2012,394.8
STRATUS_85W_20S,-19.925,-85.302,6/4/2012,396.7
STRATUS_85W_20S,-19.925,-85.302,6/5/2012,395.5
STRATUS_85W_20S,-19.925,-85.302,6/5/2012,394.8
STRATUS_85W_20S,-19.925,-85.302,6/5/2012,395.2
STRATUS_85W_20S,-19.925,-85.302,6/5/2012,395.5
STRATUS_85W_20S,-19.925,-85.302,6/5/2012,395.2
STRATUS_85W_20S,-19.925,-85.302,6/5/2012,395
STRATUS_85W_20S,-19.925,-85.302,6/5/2012,395.9
STRATUS_85W_20S,-19.925,-85.302,6/5/2012,395.7
STRATUS_85W_20S,-19.925,-85.302,6/6/2012,395.2
STRATUS_85W_20S,-19.925,-85.302,6/6/2012,395.5
STRATUS_85W_20S,-19.925,-85.302,6/6/2012,394.1
STRATUS_85W_20S,-19.925,-85.302,6/6/2012,394.3
STRATUS_85W_20S,-19.925,-85.302,6/6/2012,395
STRATUS_85W_20S,-19.925,-85.302,6/6/2012,394.8
STRATUS_85W_20S,-19.925,-85.302,6/6/2012,396.1
STRATUS_85W_20S,-19.925,-85.302,6/6/2012,396.6
STRATUS_85W_20S,-19.925,-85.302,6/7/2012,395.3
STRATUS_85W_20S,-19.925,-85.302,6/7/2012,393.9
STRATUS_85W_20S,-19.925,-85.302,6/7/2012,394.5
STRATUS_85W_20S,-19.925,-85.302,6/7/2012,395.2
STRATUS_85W_20S,-19.925,-85.302,6/7/2012,394.7
STRATUS_85W_20S,-19.925,-85.302,6/7/2012,395.3
STRATUS_85W_20S,-19.925,-85.302,6/7/2012,395.1
STRATUS_85W_20S,-19.925,-85.302,6/7/2012,395
STRATUS_85W_20S,-19.925,-85.302,6/8/2012,394.3
STRATUS_85W_20S,-19.925,-85.302,6/8/2012,393.6
STRATUS_85W_20S,-19.925,-85.302,6/8/2012,394.2
STRATUS_85W_20S,-19.925,-85.302,6/8/2012,393.7
STRATUS_85W_20S,-19.925,-85.302,6/8/2012,394
STRATUS_85W_20S,-19.925,-85.302,6/8/2012,398.9
STRATUS_85W_20S,-19.925,-85.302,6/8/2012,407.5
STRATUS_85W_20S,-19.925,-85.302,6/8/2012,406.2
STRATUS_85W_20S,-19.925,-85.302,6/9/2012,398.1
STRATUS_85W_20S,-19.925,-85.302,6/9/2012,394.5
STRATUS_85W_20S,-19.925,-85.302,6/9/2012,394
STRATUS_85W_20S,-19.925,-85.302,6/9/2012,394.2
STRATUS_85W_20S,-19.925,-85.302,6/9/2012,394
STRATUS_85W_20S,-19.925,-85.302,6/9/2012,394.6
STRATUS_85W_20S,-19.925,-85.302,6/9/2012,405.4
STRATUS_85W_20S,-19.925,-85.302,6/9/2012,407.3
STRATUS_85W_20S,-19.925,-85.302,6/10/2012,398.2
STRATUS_85W_20S,-19.925,-85.302,6/10/2012,394.6
STRATUS_85W_20S,-19.925,-85.302,6/10/2012,391.8
STRATUS_85W_20S,-19.925,-85.302,6/10/2012,391.8
STRATUS_85W_20S,-19.925,-85.302,6/10/2012,391.6
STRATUS_85W_20S,-19.925,-85.302,6/10/2012,392.9
STRATUS_85W_20S,-19.925,-85.302,6/10/2012,396.7
STRATUS_85W_20S,-19.925,-85.302,6/10/2012,394.6
STRATUS_85W_20S,-19.925,-85.302,6/11/2012,391.4
STRATUS_85W_20S,-19.925,-85.302,6/11/2012,390.7
STRATUS_85W_20S,-19.925,-85.302,6/11/2012,391.9
STRATUS_85W_20S,-19.925,-85.302,6/11/2012,392.3
STRATUS_85W_20S,-19.925,-85.302,6/11/2012,391.7
STRATUS_85W_20S,-19.925,-85.302,6/11/2012,392.7
STRATUS_85W_20S,-19.925,-85.302,6/11/2012,393.7
STRATUS_85W_20S,-19.925,-85.302,6/11/2012,393.7
STRATUS_85W_20S,-19.925,-85.302,6/12/2012,392.4
STRATUS_85W_20S,-19.925,-85.302,6/12/2012,392.2
STRATUS_85W_20S,-19.925,-85.302,6/12/2012,391.8
